"","CNTY","PREC","PCTKEY","cntykey","SDLEA10","NAME","NAME2","DISTRICT_N","NCES_DISTR"
"5297","145","0105","1450105",73,"13920","Chilton ISD","Chilton","73901","4813920"
"5301","145","0301","1450301",73,"13920","Chilton ISD","Chilton","73901","4813920"
"5302","145","0302","1450302",73,"13920","Chilton ISD","Chilton","73901","4813920"
"5304","145","0404","1450404",73,"13920","Chilton ISD","Chilton","73901","4813920"
"7004","145","0405","1450405",73,"13920","Chilton ISD","Chilton","73901","4813920"
"7005","145","0104","1450104",73,"13920","Chilton ISD","Chilton","73901","4813920"
"7006","145","0403","1450403",73,"13920","Chilton ISD","Chilton","73901","4813920"
"8302","309","0074","3090074",155,"13920","Chilton ISD","Chilton","73901","4813920"
"2761","331","0210","3310210",166,"11250","Bremond ISD","Bremond","198901","4811250"
"4386","395","0004","3950004",198,"11250","Bremond ISD","Bremond","198901","4811250"
"5300","145","0201","1450201",73,"11250","Bremond ISD","Bremond","198901","4811250"
"6254","293","0103","2930103",147,"11250","Bremond ISD","Bremond","198901","4811250"
"6381","395","0001","3950001",198,"11250","Bremond ISD","Bremond","198901","4811250"
"6382","395","0005","3950005",198,"11250","Bremond ISD","Bremond","198901","4811250"
"323","87","0302","870302",44,"30180","Memphis ISD","Memphis","96904","4830180"
"327","87","0101","870101",44,"30180","Memphis ISD","Memphis","96904","4830180"
"568","129","0303","1290303",65,"30180","Memphis ISD","Memphis","96904","4830180"
"1453","129","0201","1290201",65,"30180","Memphis ISD","Memphis","96904","4830180"
"2325","75","0101","750101",38,"30180","Memphis ISD","Memphis","96904","4830180"
"2410","191","0402","1910402",96,"30180","Memphis ISD","Memphis","96904","4830180"
"2411","191","0301","1910301",96,"30180","Memphis ISD","Memphis","96904","4830180"
"3039","45","0002","450002",23,"30180","Memphis ISD","Memphis","96904","4830180"
"3104","101","0102","1010102",51,"30180","Memphis ISD","Memphis","96904","4830180"
"3520","345","0003","3450003",173,"30180","Memphis ISD","Memphis","96904","4830180"
"5411","191","0101","1910101",96,"30180","Memphis ISD","Memphis","96904","4830180"
"6038","75","0401","750401",38,"30180","Memphis ISD","Memphis","96904","4830180"
"7092","191","0202","1910202",96,"30180","Memphis ISD","Memphis","96904","4830180"
"7093","191","0201","1910201",96,"30180","Memphis ISD","Memphis","96904","4830180"
"7094","191","0302","1910302",96,"30180","Memphis ISD","Memphis","96904","4830180"
"7095","191","0401","1910401",96,"30180","Memphis ISD","Memphis","96904","4830180"
"1442","125","0001","1250001",63,"34380","Patton Springs ISD","Patton Springs","63906","4834380"
"1443","125","0002","1250002",63,"34380","Patton Springs ISD","Patton Springs","63906","4834380"
"1444","125","0006","1250006",63,"34380","Patton Springs ISD","Patton Springs","63906","4834380"
"1445","125","0003","1250003",63,"34380","Patton Springs ISD","Patton Springs","63906","4834380"
"2852","269","0001","2690001",135,"34380","Patton Springs ISD","Patton Springs","63906","4834380"
"3107","101","0201","1010201",51,"34380","Patton Springs ISD","Patton Springs","63906","4834380"
"3522","345","0004","3450004",173,"34380","Patton Springs ISD","Patton Springs","63906","4834380"
"5747","125","0005","1250005",63,"34380","Patton Springs ISD","Patton Springs","63906","4834380"
"8588","269","0004","2690004",135,"34380","Patton Springs ISD","Patton Springs","63906","4834380"
"1442.1","125","0001","1250001",63,"00002","Spur ISD","Spur","63903","4800002"
"1443.1","125","0002","1250002",63,"00002","Spur ISD","Spur","63903","4800002"
"1444.1","125","0006","1250006",63,"00002","Spur ISD","Spur","63903","4800002"
"1445.1","125","0003","1250003",63,"00002","Spur ISD","Spur","63903","4800002"
"1466","153","0023","1530023",77,"00002","Spur ISD","Spur","63903","4800002"
"3110","107","0027","1070027",54,"00002","Spur ISD","Spur","63903","4800002"
"3522.1","345","0004","3450004",173,"00002","Spur ISD","Spur","63903","4800002"
"5747.1","125","0005","1250005",63,"00002","Spur ISD","Spur","63903","4800002"
"5748","125","0004","1250004",63,"00002","Spur ISD","Spur","63903","4800002"
"7032","169","0003","1690003",85,"00002","Spur ISD","Spur","63903","4800002"
"8534","263","0202","2630202",132,"00002","Spur ISD","Spur","63903","4800002"
"8568","433","0003","4330003",217,"00002","Spur ISD","Spur","63903","4800002"
"8588.1","269","0004","2690004",135,"00002","Spur ISD","Spur","63903","4800002"
"1490","181","0302","1810302",91,"40080","Sherman ISD","Sherman","91906","4840080"
"1500","181","0210","1810210",91,"40080","Sherman ISD","Sherman","91906","4840080"
"3660","181","0301","1810301",91,"40080","Sherman ISD","Sherman","91906","4840080"
"3661","181","0405","1810405",91,"40080","Sherman ISD","Sherman","91906","4840080"
"3662","181","0205","1810205",91,"40080","Sherman ISD","Sherman","91906","4840080"
"4808","181","0304","1810304",91,"40080","Sherman ISD","Sherman","91906","4840080"
"4809","181","0108","1810108",91,"40080","Sherman ISD","Sherman","91906","4840080"
"4810","181","0303","1810303",91,"40080","Sherman ISD","Sherman","91906","4840080"
"4812","181","0409","1810409",91,"40080","Sherman ISD","Sherman","91906","4840080"
"4817","181","0404","1810404",91,"40080","Sherman ISD","Sherman","91906","4840080"
"4818","181","0407","1810407",91,"40080","Sherman ISD","Sherman","91906","4840080"
"7045","181","0103","1810103",91,"40080","Sherman ISD","Sherman","91906","4840080"
"7046","181","0102","1810102",91,"40080","Sherman ISD","Sherman","91906","4840080"
"7047","181","0104","1810104",91,"40080","Sherman ISD","Sherman","91906","4840080"
"7048","181","0209","1810209",91,"40080","Sherman ISD","Sherman","91906","4840080"
"7792","181","0408","1810408",91,"40080","Sherman ISD","Sherman","91906","4840080"
"7941","181","0101","1810101",91,"40080","Sherman ISD","Sherman","91906","4840080"
"1490.1","181","0302","1810302",91,"38400","S and S Cons ISD","S and S Cons","91914","4838400"
"1495","181","0406","1810406",91,"38400","S and S Cons ISD","S and S Cons","91914","4838400"
"1496","181","0306","1810306",91,"38400","S and S Cons ISD","S and S Cons","91914","4838400"
"1497","181","0309","1810309",91,"38400","S and S Cons ISD","S and S Cons","91914","4838400"
"2397","181","0307","1810307",91,"38400","S and S Cons ISD","S and S Cons","91914","4838400"
"4808.1","181","0304","1810304",91,"38400","S and S Cons ISD","S and S Cons","91914","4838400"
"4809.1","181","0108","1810108",91,"38400","S and S Cons ISD","S and S Cons","91914","4838400"
"4810.1","181","0303","1810303",91,"38400","S and S Cons ISD","S and S Cons","91914","4838400"
"4811","181","0305","1810305",91,"38400","S and S Cons ISD","S and S Cons","91914","4838400"
"4812.1","181","0409","1810409",91,"38400","S and S Cons ISD","S and S Cons","91914","4838400"
"4817.1","181","0404","1810404",91,"38400","S and S Cons ISD","S and S Cons","91914","4838400"
"7792.1","181","0408","1810408",91,"38400","S and S Cons ISD","S and S Cons","91914","4838400"
"1494","181","0206","1810206",91,"35580","Pottsboro ISD","Pottsboro","91913","4835580"
"1495.1","181","0406","1810406",91,"35580","Pottsboro ISD","Pottsboro","91913","4835580"
"4811.1","181","0305","1810305",91,"35580","Pottsboro ISD","Pottsboro","91913","4835580"
"4815","181","0403","1810403",91,"35580","Pottsboro ISD","Pottsboro","91913","4835580"
"4816","181","0402","1810402",91,"35580","Pottsboro ISD","Pottsboro","91913","4835580"
"4817.2","181","0404","1810404",91,"35580","Pottsboro ISD","Pottsboro","91913","4835580"
"4818.1","181","0407","1810407",91,"35580","Pottsboro ISD","Pottsboro","91913","4835580"
"7792.2","181","0408","1810408",91,"35580","Pottsboro ISD","Pottsboro","91913","4835580"
"7794","181","0204","1810204",91,"35580","Pottsboro ISD","Pottsboro","91913","4835580"
"575","139","0145","1390145",70,"44730","Waxahachie ISD","Waxahachie","70912","4844730"
"578","139","0111","1390111",70,"44730","Waxahachie ISD","Waxahachie","70912","4844730"
"579","139","0143","1390143",70,"44730","Waxahachie ISD","Waxahachie","70912","4844730"
"580","139","0112","1390112",70,"44730","Waxahachie ISD","Waxahachie","70912","4844730"
"581","139","0119","1390119",70,"44730","Waxahachie ISD","Waxahachie","70912","4844730"
"582","139","0135","1390135",70,"44730","Waxahachie ISD","Waxahachie","70912","4844730"
"583","139","0131","1390131",70,"44730","Waxahachie ISD","Waxahachie","70912","4844730"
"584","139","0130","1390130",70,"44730","Waxahachie ISD","Waxahachie","70912","4844730"
"585","139","0113","1390113",70,"44730","Waxahachie ISD","Waxahachie","70912","4844730"
"586","139","0115","1390115",70,"44730","Waxahachie ISD","Waxahachie","70912","4844730"
"587","139","0132","1390132",70,"44730","Waxahachie ISD","Waxahachie","70912","4844730"
"592","139","0105","1390105",70,"44730","Waxahachie ISD","Waxahachie","70912","4844730"
"795","139","0114","1390114",70,"44730","Waxahachie ISD","Waxahachie","70912","4844730"
"1776","139","0110","1390110",70,"44730","Waxahachie ISD","Waxahachie","70912","4844730"
"1777","139","0141","1390141",70,"44730","Waxahachie ISD","Waxahachie","70912","4844730"
"1778","139","0139","1390139",70,"44730","Waxahachie ISD","Waxahachie","70912","4844730"
"1822","139","0147","1390147",70,"44730","Waxahachie ISD","Waxahachie","70912","4844730"
"1824","139","0142","1390142",70,"44730","Waxahachie ISD","Waxahachie","70912","4844730"
"1826","139","0108","1390108",70,"44730","Waxahachie ISD","Waxahachie","70912","4844730"
"1829","139","0138","1390138",70,"44730","Waxahachie ISD","Waxahachie","70912","4844730"
"1830","139","0140","1390140",70,"44730","Waxahachie ISD","Waxahachie","70912","4844730"
"5771","139","0106","1390106",70,"44730","Waxahachie ISD","Waxahachie","70912","4844730"
"5784","139","0117","1390117",70,"44730","Waxahachie ISD","Waxahachie","70912","4844730"
"5785","139","0118","1390118",70,"44730","Waxahachie ISD","Waxahachie","70912","4844730"
"5786","139","0116","1390116",70,"44730","Waxahachie ISD","Waxahachie","70912","4844730"
"5787","139","0134","1390134",70,"44730","Waxahachie ISD","Waxahachie","70912","4844730"
"5788","139","0133","1390133",70,"44730","Waxahachie ISD","Waxahachie","70912","4844730"
"5789","139","0120","1390120",70,"44730","Waxahachie ISD","Waxahachie","70912","4844730"
"383","113","3808","1133808",57,"36660","Red Oak ISD","Red Oak","70911","4836660"
"575.1","139","0145","1390145",70,"36660","Red Oak ISD","Red Oak","70911","4836660"
"579.1","139","0143","1390143",70,"36660","Red Oak ISD","Red Oak","70911","4836660"
"590","139","0107","1390107",70,"36660","Red Oak ISD","Red Oak","70911","4836660"
"593","139","0146","1390146",70,"36660","Red Oak ISD","Red Oak","70911","4836660"
"1776.1","139","0110","1390110",70,"36660","Red Oak ISD","Red Oak","70911","4836660"
"1777.1","139","0141","1390141",70,"36660","Red Oak ISD","Red Oak","70911","4836660"
"1822.1","139","0147","1390147",70,"36660","Red Oak ISD","Red Oak","70911","4836660"
"1823","139","0148","1390148",70,"36660","Red Oak ISD","Red Oak","70911","4836660"
"1824.1","139","0142","1390142",70,"36660","Red Oak ISD","Red Oak","70911","4836660"
"1826.1","139","0108","1390108",70,"36660","Red Oak ISD","Red Oak","70911","4836660"
"1831","139","0144","1390144",70,"36660","Red Oak ISD","Red Oak","70911","4836660"
"4930","113","3900","1133900",57,"36660","Red Oak ISD","Red Oak","70911","4836660"
"5103","113","3101","1133101",57,"36660","Red Oak ISD","Red Oak","70911","4836660"
"5127","113","3100","1133100",57,"36660","Red Oak ISD","Red Oak","70911","4836660"
"7938","139","0109","1390109",70,"36660","Red Oak ISD","Red Oak","70911","4836660"
"576","139","0149","1390149",70,"34110","Palmer ISD","Palmer","70910","4834110"
"577","139","0137","1390137",70,"34110","Palmer ISD","Palmer","70910","4834110"
"579.2","139","0143","1390143",70,"34110","Palmer ISD","Palmer","70910","4834110"
"1778.1","139","0139","1390139",70,"34110","Palmer ISD","Palmer","70910","4834110"
"1822.2","139","0147","1390147",70,"34110","Palmer ISD","Palmer","70910","4834110"
"1823.1","139","0148","1390148",70,"34110","Palmer ISD","Palmer","70910","4834110"
"1824.2","139","0142","1390142",70,"34110","Palmer ISD","Palmer","70910","4834110"
"1825","139","0136","1390136",70,"34110","Palmer ISD","Palmer","70910","4834110"
"1829.1","139","0138","1390138",70,"34110","Palmer ISD","Palmer","70910","4834110"
"5789.1","139","0120","1390120",70,"34110","Palmer ISD","Palmer","70910","4834110"
"577.1","139","0137","1390137",70,"18540","Ennis ISD","Ennis","70903","4818540"
"581.1","139","0119","1390119",70,"18540","Ennis ISD","Ennis","70903","4818540"
"587.1","139","0132","1390132",70,"18540","Ennis ISD","Ennis","70903","4818540"
"588","139","0129","1390129",70,"18540","Ennis ISD","Ennis","70903","4818540"
"589","139","0125","1390125",70,"18540","Ennis ISD","Ennis","70903","4818540"
"795.1","139","0114","1390114",70,"18540","Ennis ISD","Ennis","70903","4818540"
"796","139","0122","1390122",70,"18540","Ennis ISD","Ennis","70903","4818540"
"797","139","0124","1390124",70,"18540","Ennis ISD","Ennis","70903","4818540"
"798","139","0127","1390127",70,"18540","Ennis ISD","Ennis","70903","4818540"
"1825.1","139","0136","1390136",70,"18540","Ennis ISD","Ennis","70903","4818540"
"1827","139","0121","1390121",70,"18540","Ennis ISD","Ennis","70903","4818540"
"1828","139","0128","1390128",70,"18540","Ennis ISD","Ennis","70903","4818540"
"1829.2","139","0138","1390138",70,"18540","Ennis ISD","Ennis","70903","4818540"
"2544","213","001A","213001A",107,"18540","Ennis ISD","Ennis","70903","4818540"
"2545","213","01TC","21301TC",107,"18540","Ennis ISD","Ennis","70903","4818540"
"3552","349","0107","3490107",175,"18540","Ennis ISD","Ennis","70903","4818540"
"3553","349","0108","3490108",175,"18540","Ennis ISD","Ennis","70903","4818540"
"3558","349","0403","3490403",175,"18540","Ennis ISD","Ennis","70903","4818540"
"3559","349","0109","3490109",175,"18540","Ennis ISD","Ennis","70903","4818540"
"3647","139","0123","1390123",70,"18540","Ennis ISD","Ennis","70903","4818540"
"3648","139","0126","1390126",70,"18540","Ennis ISD","Ennis","70903","4818540"
"3785","349","0106","3490106",175,"18540","Ennis ISD","Ennis","70903","4818540"
"5789.2","139","0120","1390120",70,"18540","Ennis ISD","Ennis","70903","4818540"
"6155","257","0010","2570010",129,"18540","Ennis ISD","Ennis","70903","4818540"
"6156","257","0012","2570012",129,"18540","Ennis ISD","Ennis","70903","4818540"
"1493","181","0201","1810201",91,"16710","Denison ISD","Denison","91903","4816710"
"1494.1","181","0206","1810206",91,"16710","Denison ISD","Denison","91903","4816710"
"1500.1","181","0210","1810210",91,"16710","Denison ISD","Denison","91903","4816710"
"3660.1","181","0301","1810301",91,"16710","Denison ISD","Denison","91903","4816710"
"3661.1","181","0405","1810405",91,"16710","Denison ISD","Denison","91903","4816710"
"3662.1","181","0205","1810205",91,"16710","Denison ISD","Denison","91903","4816710"
"4801","147","0002","1470002",74,"16710","Denison ISD","Denison","91903","4816710"
"4807","181","0202","1810202",91,"16710","Denison ISD","Denison","91903","4816710"
"4813","181","0203","1810203",91,"16710","Denison ISD","Denison","91903","4816710"
"4814","181","0401","1810401",91,"16710","Denison ISD","Denison","91903","4816710"
"4815.1","181","0403","1810403",91,"16710","Denison ISD","Denison","91903","4816710"
"4816.1","181","0402","1810402",91,"16710","Denison ISD","Denison","91903","4816710"
"4817.3","181","0404","1810404",91,"16710","Denison ISD","Denison","91903","4816710"
"4818.2","181","0407","1810407",91,"16710","Denison ISD","Denison","91903","4816710"
"7045.1","181","0103","1810103",91,"16710","Denison ISD","Denison","91903","4816710"
"7792.3","181","0408","1810408",91,"16710","Denison ISD","Denison","91903","4816710"
"7794.1","181","0204","1810204",91,"16710","Denison ISD","Denison","91903","4816710"
"1500.2","181","0210","1810210",91,"09780","Bells ISD","Bells","91901","4809780"
"3662.2","181","0205","1810205",91,"09780","Bells ISD","Bells","91901","4809780"
"4801.1","147","0002","1470002",74,"09780","Bells ISD","Bells","91901","4809780"
"7048.1","181","0209","1810209",91,"09780","Bells ISD","Bells","91901","4809780"
"1495.2","181","0406","1810406",91,"45630","Whitesboro ISD","Whitesboro","91909","4845630"
"1496.1","181","0306","1810306",91,"45630","Whitesboro ISD","Whitesboro","91909","4845630"
"2397.1","181","0307","1810307",91,"45630","Whitesboro ISD","Whitesboro","91909","4845630"
"4811.2","181","0305","1810305",91,"45630","Whitesboro ISD","Whitesboro","91909","4845630"
"4817.4","181","0404","1810404",91,"45630","Whitesboro ISD","Whitesboro","91909","4845630"
"5084","97","0007","970007",49,"45630","Whitesboro ISD","Whitesboro","91909","4845630"
"5085","97","0009","970009",49,"45630","Whitesboro ISD","Whitesboro","91909","4845630"
"5086","97","0008","970008",49,"45630","Whitesboro ISD","Whitesboro","91909","4845630"
"1496.2","181","0306","1810306",91,"14580","Collinsville ISD","Collinsville","91902","4814580"
"1497.1","181","0309","1810309",91,"14580","Collinsville ISD","Collinsville","91902","4814580"
"2397.2","181","0307","1810307",91,"14580","Collinsville ISD","Collinsville","91902","4814580"
"2398","181","0308","1810308",91,"14580","Collinsville ISD","Collinsville","91902","4814580"
"4973","97","0010","970010",49,"14580","Collinsville ISD","Collinsville","91902","4814580"
"5084.1","97","0007","970007",49,"14580","Collinsville ISD","Collinsville","91902","4814580"
"5086.1","97","0008","970008",49,"14580","Collinsville ISD","Collinsville","91902","4814580"
"1702","241","0016","2410016",121,"18750","Evadale ISD","Evadale","121906","4818750"
"2434","199","0002","1990002",100,"18750","Evadale ISD","Evadale","121906","4818750"
"2436","199","0009","1990009",100,"18750","Evadale ISD","Evadale","121906","4818750"
"2669","241","0009","2410009",121,"18750","Evadale ISD","Evadale","121906","4818750"
"2670","241","0017","2410017",121,"18750","Evadale ISD","Evadale","121906","4818750"
"2671","241","0015","2410015",121,"18750","Evadale ISD","Evadale","121906","4818750"
"1702.1","241","0016","2410016",121,"12090","Buna ISD","Buna","121903","4812090"
"2434.1","199","0002","1990002",100,"12090","Buna ISD","Buna","121903","4812090"
"2435","199","0011","1990011",100,"12090","Buna ISD","Buna","121903","4812090"
"2669.1","241","0009","2410009",121,"12090","Buna ISD","Buna","121903","4812090"
"2670.1","241","0017","2410017",121,"12090","Buna ISD","Buna","121903","4812090"
"2671.1","241","0015","2410015",121,"12090","Buna ISD","Buna","121903","4812090"
"2672","241","0010","2410010",121,"12090","Buna ISD","Buna","121903","4812090"
"3592","351","0009","3510009",176,"12090","Buna ISD","Buna","121903","4812090"
"3593","351","0010","3510010",176,"12090","Buna ISD","Buna","121903","4812090"
"3594","351","0011","3510011",176,"12090","Buna ISD","Buna","121903","4812090"
"3596","351","0021","3510021",176,"12090","Buna ISD","Buna","121903","4812090"
"4233","361","0031","3610031",181,"12090","Buna ISD","Buna","121903","4812090"
"4239","361","0016","3610016",181,"12090","Buna ISD","Buna","121903","4812090"
"4242","361","0027","3610027",181,"12090","Buna ISD","Buna","121903","4812090"
"6812","457","0015","4570015",229,"12090","Buna ISD","Buna","121903","4812090"
"1143","47","0004","470004",24,"39300","Santa Gertrudis ISD","Santa Gertrudis","137904","4839300"
"6125","249","0011","2490011",125,"39300","Santa Gertrudis ISD","Santa Gertrudis","137904","4839300"
"6126","249","0004","2490004",125,"39300","Santa Gertrudis ISD","Santa Gertrudis","137904","4839300"
"6127","249","0014","2490014",125,"39300","Santa Gertrudis ISD","Santa Gertrudis","137904","4839300"
"6161","261","0002","2610002",131,"39300","Santa Gertrudis ISD","Santa Gertrudis","137904","4839300"
"6190","273","0035","2730035",137,"39300","Santa Gertrudis ISD","Santa Gertrudis","137904","4839300"
"6194","273","0032","2730032",137,"39300","Santa Gertrudis ISD","Santa Gertrudis","137904","4839300"
"6198","273","0022","2730022",137,"39300","Santa Gertrudis ISD","Santa Gertrudis","137904","4839300"
"6200","273","0024","2730024",137,"39300","Santa Gertrudis ISD","Santa Gertrudis","137904","4839300"
"6201","273","0033","2730033",137,"39300","Santa Gertrudis ISD","Santa Gertrudis","137904","4839300"
"3387","273","0042","2730042",137,"37320","Riviera ISD","Riviera","137903","4837320"
"3613","355","0018","3550018",178,"37320","Riviera ISD","Riviera","137903","4837320"
"3893","355","0127","3550127",178,"37320","Riviera ISD","Riviera","137903","4837320"
"3894","355","0019","3550019",178,"37320","Riviera ISD","Riviera","137903","4837320"
"4137","355","0036","3550036",178,"37320","Riviera ISD","Riviera","137903","4837320"
"4149","355","0040","3550040",178,"37320","Riviera ISD","Riviera","137903","4837320"
"6160","261","0001","2610001",131,"37320","Riviera ISD","Riviera","137903","4837320"
"6161.1","261","0002","2610002",131,"37320","Riviera ISD","Riviera","137903","4837320"
"6185","273","0012","2730012",137,"37320","Riviera ISD","Riviera","137903","4837320"
"6189","273","0034","2730034",137,"37320","Riviera ISD","Riviera","137903","4837320"
"6190.1","273","0035","2730035",137,"37320","Riviera ISD","Riviera","137903","4837320"
"6191","273","0041","2730041",137,"37320","Riviera ISD","Riviera","137903","4837320"
"6197","273","0023","2730023",137,"37320","Riviera ISD","Riviera","137903","4837320"
"6201.1","273","0033","2730033",137,"37320","Riviera ISD","Riviera","137903","4837320"
"6361","355","0014","3550014",178,"37320","Riviera ISD","Riviera","137903","4837320"
"3387.1","273","0042","2730042",137,"36930","Ricardo ISD","Ricardo","137902","4836930"
"6185.1","273","0012","2730012",137,"36930","Ricardo ISD","Ricardo","137902","4836930"
"6186","273","0011","2730011",137,"36930","Ricardo ISD","Ricardo","137902","4836930"
"6187","273","0031","2730031",137,"36930","Ricardo ISD","Ricardo","137902","4836930"
"6189.1","273","0034","2730034",137,"36930","Ricardo ISD","Ricardo","137902","4836930"
"6190.2","273","0035","2730035",137,"36930","Ricardo ISD","Ricardo","137902","4836930"
"6194.1","273","0032","2730032",137,"36930","Ricardo ISD","Ricardo","137902","4836930"
"3387.2","273","0042","2730042",137,"25680","Kingsville ISD","Kingsville","137901","4825680"
"4137.1","355","0036","3550036",178,"25680","Kingsville ISD","Kingsville","137901","4825680"
"6125.1","249","0011","2490011",125,"25680","Kingsville ISD","Kingsville","137901","4825680"
"6128","249","0005","2490005",125,"25680","Kingsville ISD","Kingsville","137901","4825680"
"6129","249","0009","2490009",125,"25680","Kingsville ISD","Kingsville","137901","4825680"
"6185.2","273","0012","2730012",137,"25680","Kingsville ISD","Kingsville","137901","4825680"
"6186.1","273","0011","2730011",137,"25680","Kingsville ISD","Kingsville","137901","4825680"
"6187.1","273","0031","2730031",137,"25680","Kingsville ISD","Kingsville","137901","4825680"
"6188","273","0013","2730013",137,"25680","Kingsville ISD","Kingsville","137901","4825680"
"6190.3","273","0035","2730035",137,"25680","Kingsville ISD","Kingsville","137901","4825680"
"6191.1","273","0041","2730041",137,"25680","Kingsville ISD","Kingsville","137901","4825680"
"6192","273","0043","2730043",137,"25680","Kingsville ISD","Kingsville","137901","4825680"
"6193","273","0014","2730014",137,"25680","Kingsville ISD","Kingsville","137901","4825680"
"6194.2","273","0032","2730032",137,"25680","Kingsville ISD","Kingsville","137901","4825680"
"6195","273","0045","2730045",137,"25680","Kingsville ISD","Kingsville","137901","4825680"
"6196","273","0021","2730021",137,"25680","Kingsville ISD","Kingsville","137901","4825680"
"6197.1","273","0023","2730023",137,"25680","Kingsville ISD","Kingsville","137901","4825680"
"6198.1","273","0022","2730022",137,"25680","Kingsville ISD","Kingsville","137901","4825680"
"6199","273","0044","2730044",137,"25680","Kingsville ISD","Kingsville","137901","4825680"
"6200.1","273","0024","2730024",137,"25680","Kingsville ISD","Kingsville","137901","4825680"
"7625","249","0017","2490017",125,"25680","Kingsville ISD","Kingsville","137901","4825680"
"24","5","0007","50007",3,"08490","Apple Springs ISD","Apple Springs","228905","4808490"
"25","5","0015","50015",3,"08490","Apple Springs ISD","Apple Springs","228905","4808490"
"1675","225","0019","2250019",113,"08490","Apple Springs ISD","Apple Springs","228905","4808490"
"2616","225","0021","2250021",113,"08490","Apple Springs ISD","Apple Springs","228905","4808490"
"6803","455","0018","4550018",228,"08490","Apple Springs ISD","Apple Springs","228905","4808490"
"7479","455","0009","4550009",228,"08490","Apple Springs ISD","Apple Springs","228905","4808490"
"7484","455","0010","4550010",228,"08490","Apple Springs ISD","Apple Springs","228905","4808490"
"7490","455","0008","4550008",228,"08490","Apple Springs ISD","Apple Springs","228905","4808490"
"715","455","0014","4550014",228,"43200","Trinity ISD","Trinity","228903","4843200"
"1672","225","0018","2250018",113,"43200","Trinity ISD","Trinity","228903","4843200"
"2613","225","0007","2250007",113,"43200","Trinity ISD","Trinity","228903","4843200"
"2615","225","0017","2250017",113,"43200","Trinity ISD","Trinity","228903","4843200"
"3437","313","0101","3130101",157,"43200","Trinity ISD","Trinity","228903","4843200"
"3906","455","0021","4550021",228,"43200","Trinity ISD","Trinity","228903","4843200"
"4438","407","0008","4070008",204,"43200","Trinity ISD","Trinity","228903","4843200"
"4636","455","0019","4550019",228,"43200","Trinity ISD","Trinity","228903","4843200"
"4637","455","0004","4550004",228,"43200","Trinity ISD","Trinity","228903","4843200"
"4657","471","0104","4710104",236,"43200","Trinity ISD","Trinity","228903","4843200"
"4658","471","0304","4710304",236,"43200","Trinity ISD","Trinity","228903","4843200"
"5948","455","0017","4550017",228,"43200","Trinity ISD","Trinity","228903","4843200"
"5949","455","0001","4550001",228,"43200","Trinity ISD","Trinity","228903","4843200"
"7480","455","0002","4550002",228,"43200","Trinity ISD","Trinity","228903","4843200"
"7486","455","0006","4550006",228,"43200","Trinity ISD","Trinity","228903","4843200"
"7487","455","0005","4550005",228,"43200","Trinity ISD","Trinity","228903","4843200"
"8361","455","0011","4550011",228,"43200","Trinity ISD","Trinity","228903","4843200"
"24.1","5","0007","50007",3,"25470","Kennard ISD","Kennard","113906","4825470"
"976","225","0004","2250004",113,"25470","Kennard ISD","Kennard","113906","4825470"
"1671","225","0011","2250011",113,"25470","Kennard ISD","Kennard","113906","4825470"
"1675.1","225","0019","2250019",113,"25470","Kennard ISD","Kennard","113906","4825470"
"2609","225","0016","2250016",113,"25470","Kennard ISD","Kennard","113906","4825470"
"2614","225","0012","2250012",113,"25470","Kennard ISD","Kennard","113906","4825470"
"2616.1","225","0021","2250021",113,"25470","Kennard ISD","Kennard","113906","4825470"
"3986","5","0023","50023",3,"25470","Kennard ISD","Kennard","113906","4825470"
"5042","73","0027","730027",37,"25470","Kennard ISD","Kennard","113906","4825470"
"5043","73","0025","730025",37,"25470","Kennard ISD","Kennard","113906","4825470"
"6099","225","0008","2250008",113,"25470","Kennard ISD","Kennard","113906","4825470"
"6100","225","0020","2250020",113,"25470","Kennard ISD","Kennard","113906","4825470"
"7479.1","455","0009","4550009",228,"25470","Kennard ISD","Kennard","113906","4825470"
"7484.1","455","0010","4550010",228,"25470","Kennard ISD","Kennard","113906","4825470"
"7489","455","0015","4550015",228,"25470","Kennard ISD","Kennard","113906","4825470"
"7490.1","455","0008","4550008",228,"25470","Kennard ISD","Kennard","113906","4825470"
"2511","203","0016","2030016",102,"33840","Ore City ISD","Ore City","230903","4833840"
"2745","315","0001","3150001",158,"33840","Ore City ISD","Ore City","230903","4833840"
"2746","315","0010","3150010",158,"33840","Ore City ISD","Ore City","230903","4833840"
"3519","343","0203","3430203",172,"33840","Ore City ISD","Ore City","230903","4833840"
"7904","459","0006","4590006",230,"33840","Ore City ISD","Ore City","230903","4833840"
"8367","459","0005","4590005",230,"33840","Ore City ISD","Ore City","230903","4833840"
"8369","459","0007","4590007",230,"33840","Ore City ISD","Ore City","230903","4833840"
"8371","459","0008","4590008",230,"33840","Ore City ISD","Ore City","230903","4833840"
"2300","67","0001","670001",34,"24730","Jefferson ISD","Jefferson","155901","4824730"
"2303","67","0002","670002",34,"24730","Jefferson ISD","Jefferson","155901","4824730"
"2304","67","0005","670005",34,"24730","Jefferson ISD","Jefferson","155901","4824730"
"2308","67","0019","670019",34,"24730","Jefferson ISD","Jefferson","155901","4824730"
"2507","203","0015","2030015",102,"24730","Jefferson ISD","Jefferson","155901","4824730"
"2508","203","0024","2030024",102,"24730","Jefferson ISD","Jefferson","155901","4824730"
