"","PTY","DISTRICT_N","VOTES"
"267","D",22902,239
"268","I",22902,16
"269","R",22902,290
"270","D",22903,50
"271","I",22903,3
"272","R",22903,29
"273","I",23902,32
"274","R",23902,435
"275","D",24901,1972
"276","I",24901,128
"277","R",24901,396
"278","I",25901,132
"279","R",25901,2285
"280","I",25902,356
"281","R",25902,4020
"282","I",25904,40
"283","R",25904,610
"284","I",25905,61
"285","R",25905,871
"286","I",25906,41
"287","R",25906,548
"288","I",25908,82
"289","R",25908,1295
"290","I",25909,152
"291","R",25909,2227
"292","D",26901,727
"293","I",26901,88
"294","R",26901,3256
"295","D",26902,261
"296","I",26902,24
"297","R",26902,987
"298","D",26903,393
"299","I",26903,26
"300","R",26903,1160
"301","D",27903,1817
"302","I",27903,449
"303","R",27903,8429
"304","D",27904,2537
"305","I",27904,385
"306","R",27904,8348
"307","D",28902,3876
"308","I",28902,131
"309","R",28902,4278
"310","D",28903,625
"311","I",28903,8
"312","R",28903,1346
"313","D",28906,243
"314","I",28906,9
"315","R",28906,336
"316","D",29901,2140
"317","R",29901,4613
"318","I",30901,85
"319","R",30901,1369
"320","I",30902,143
"321","R",30902,1828
"322","I",30903,119
"323","R",30903,1692
"324","I",30906,195
"325","R",30906,2038
"326","D",31901,30276
"327","R",31901,8762
"328","D",31903,11083
"329","R",31903,8167
"330","D",31905,2388
"331","I",31905,0
"332","R",31905,1524
"333","D",31906,7836
"334","R",31906,4134
"335","D",31909,2083
"336","R",31909,1528
"337","D",31911,1413
"338","R",31911,1024
"339","D",31912,5623
"340","R",31912,2579
"341","D",31913,454
"342","I",31913,0
"343","R",31913,127
"344","D",31914,530
"345","I",31914,0
"346","R",31914,177
"347","D",32902,4
"348","I",32902,592
"349","R",32902,3503
"350","I",33901,37
"351","R",33901,396
"352","I",33902,120
"353","R",33902,1584
"354","I",33904,96
"355","R",33904,758
"356","I",34901,334
"357","R",34901,3469
"358","I",34902,63
"359","R",34902,533
"360","I",34903,186
"361","R",34903,1434
"362","I",34905,199
"363","R",34905,1785
"364","I",34906,12
"365","R",34906,262
"366","I",34907,141
"367","R",34907,1473
"368","I",34909,49
"369","R",34909,688
"370","I",35901,137
"371","R",35901,914
"372","I",35902,43
"373","R",35902,177
"374","I",35903,4
"375","R",35903,191
"376","D",36901,0
"377","I",36901,333
"378","R",36901,3616
"379","D",36902,0
"380","I",36902,454
"381","R",36902,6798
"382","D",36903,0
"383","I",36903,102
"384","R",36903,1381
"385","D",37901,0
"386","I",37901,136
"387","R",37901,1076
"388","I",37904,856
"389","R",37904,6099
"390","D",37907,15
"391","I",37907,375
"392","R",37907,3254
"393","D",37908,0
"394","I",37908,69
"395","R",37908,370
"396","D",37909,8
"397","I",37909,54
"398","R",37909,465
"399","I",38901,90
"400","R",38901,1593
"401","I",39902,168
"402","R",39902,1992
"403","I",39903,99
"404","R",39903,1256
"405","I",39904,21
"406","R",39904,415
"407","I",39905,34
"408","R",39905,643
"409","I",40901,53
"410","R",40901,394
"411","I",40902,75
"412","R",40902,635
"413","I",41901,47
"414","R",41901,711
"415","I",41902,30
"416","R",41902,540
"417","I",42901,73
"418","R",42901,1325
"419","I",42903,59
"420","R",42903,686
"421","I",42905,88
"422","R",42905,1254
"423","D",43901,13873
"424","I",43901,1638
"425","R",43901,23316
"426","D",43902,481
"427","I",43902,492
"428","R",43902,3422
"429","D",43903,250
"430","I",43903,402
"431","R",43903,4033
"432","D",43904,122
"433","I",43904,270
"434","R",43904,2617
"435","D",43905,28116
"436","I",43905,2957
"437","R",43905,48044
"438","D",43907,14713
"439","I",43907,2131
"440","R",43907,34140
"441","D",43908,699
"442","I",43908,164
"443","R",43908,2775
"444","D",43910,50694
"445","I",43910,5872
"446","R",43910,75839
"447","D",43911,1017
"448","I",43911,212
"449","R",43911,3521
"450","D",43912,4021
"451","I",43912,669
"452","R",43912,12349
"453","D",43914,1355
"454","I",43914,3726
"455","R",43914,15786
"456","D",43917,62
"457","I",43917,75
"458","R",43917,1054
"459","D",43918,64
"460","I",43918,561
"461","R",43918,3801
"462","D",43919,947
"463","I",43919,197
"464","R",43919,3944
"465","I",44902,66
"466","R",44902,1140
"467","D",45902,759
"468","I",45902,95
"469","R",45902,3407
"470","D",45903,698
"471","I",45903,52
"472","R",45903,1636
"473","D",45905,336
"474","I",45905,44
"475","R",45905,1391
"476","D",46901,4165
"477","I",46901,811
"478","R",46901,11763
"479","D",46902,12174
"480","I",46902,2607
"481","R",46902,42829
"482","I",47901,173
"483","R",47901,2090
"484","I",47902,115
"485","R",47902,1258
"486","D",47903,0
"487","I",47903,27
"488","R",47903,294
"489","I",47905,23
"490","R",47905,245
"491","D",48901,0
"492","I",48901,30
"493","R",48901,463
"494","I",48903,24
"495","R",48903,333
"496","I",49901,578
"497","R",49901,4151
"498","I",49902,75
"499","R",49902,1584
"500","D",49903,0
"501","I",49903,106
"502","R",49903,1116
"503","I",49905,260
"504","R",49905,3140
"505","D",49906,6
"506","I",49906,68
"507","R",49906,894
"508","I",49907,84
"509","R",49907,745
"510","I",49908,10
"511","R",49908,156
"512","I",49909,18
"513","R",49909,302
"514","D",50901,149
"515","I",50901,25
"516","R",50901,811
"517","D",50902,1147
"518","I",50902,188
"519","R",50902,4762
"520","D",50904,121
"521","I",50904,18
"522","R",50904,527
"523","D",50909,95
"524","I",50909,21
"525","R",50909,689
"526","D",50910,2568
"527","I",50910,353
"528","R",50910,4586
"529","I",51901,41
"530","R",51901,459
"531","D",52901,313
"532","I",52901,38
"533","R",52901,1000
"534","D",53001,462
"535","I",53001,28
"536","R",53001,875
"537","I",54901,63
"538","R",54901,565
"539","I",54902,63
"540","R",54902,525
"541","I",54903,54
"542","R",54903,510
"543","D",55901,525
"544","I",55901,25
"545","R",55901,301
"546","I",56901,147
"547","R",56901,2064
"548","I",56902,19
"549","R",56902,264
"550","D",57903,26289
"551","I",57903,2753
"552","R",57903,25246
"553","D",57904,14478
"554","I",57904,617
"555","R",57904,5236
"556","D",57905,133304
"557","I",57905,36186
"558","R",57905,98047
"559","D",57906,20202
"560","I",57906,470
"561","R",57906,3364
"562","D",57907,15985
"563","I",57907,781
"564","R",57907,7110
"565","D",57909,0
"566","I",57909,19592
"567","R",57909,49927
"568","D",57910,16598
"569","I",57910,701
"570","R",57910,11591
"571","I",57911,2341
"572","R",57911,14258
"573","D",57912,19631
"574","I",57912,886
"575","R",57912,15695
"576","D",57913,12168
"577","I",57913,324
"578","R",57913,1634
"579","D",57914,66
"580","I",57914,11381
"581","R",57914,22443
"582","D",57916,69
"583","I",57916,21099
"584","R",57916,45517
"585","I",57919,431
"586","R",57919,2358
"587","D",57922,6889
"588","I",57922,689
"589","R",57922,10970
"590","I",58902,7
"591","R",58902,93
"592","I",58905,104
"593","R",58905,1227
"594","I",58906,125
"595","R",58906,1412
"596","I",58909,9
"597","R",58909,220
"598","I",59901,163
"599","R",59901,1411
"600","I",59902,138
"601","R",59902,1463
"602","I",60902,149
"603","R",60902,1699
"604","I",60914,42
"605","R",60914,416
"606","D",61901,24601
"607","I",61901,3222
"608","R",61901,37956
"609","D",61902,36361
"610","I",61902,4398
"611","R",61902,69416
"612","D",61903,946
"613","I",61903,184
"614","R",61903,3727
"615","D",61905,588
"616","I",61905,127
"617","R",61905,2945
"618","D",61906,479
"619","I",61906,127
"620","R",61906,2653
"621","D",61907,1621
"622","I",61907,243
"623","R",61907,4360
"624","D",61908,930
"625","I",61908,191
"626","R",61908,4269
"627","D",61910,730
"628","I",61910,166
"629","R",61910,4230
"630","D",61911,8678
"631","I",61911,1568
