"","PTY","DISTRICT_N","VOTES"
"1311","R",117901,2056
"1312","I",117903,107
"1313","R",117903,1234
"1314","I",117904,224
"1315","R",117904,2449
"1316","I",117907,73
"1317","R",117907,834
"1318","D",118902,0
"1319","I",118902,38
"1320","R",118902,686
"1321","I",119901,47
"1322","R",119901,760
"1323","I",119902,114
"1324","R",119902,2245
"1325","D",119903,37
"1326","I",119903,35
"1327","R",119903,824
"1328","D",120901,603
"1329","R",120901,2392
"1330","D",120902,118
"1331","R",120902,729
"1332","D",120905,173
"1333","R",120905,1446
"1334","D",121902,85
"1335","I",121902,57
"1336","R",121902,1100
"1337","I",121903,144
"1338","R",121903,2754
"1339","D",121904,0
"1340","I",121904,611
"1341","R",121904,4123
"1342","I",121905,199
"1343","R",121905,2617
"1344","I",121906,15
"1345","R",121906,571
"1346","D",122901,440
"1347","I",122901,38
"1348","R",122901,536
"1349","D",122902,72
"1350","I",122902,7
"1351","R",122902,97
"1352","D",123905,2029
"1353","I",123905,0
"1354","R",123905,8474
"1355","D",123907,10379
"1356","I",123907,0
"1357","R",123907,4106
"1358","D",123908,2206
"1359","I",123908,0
"1360","R",123908,8297
"1361","D",123910,25914
"1362","I",123910,0
"1363","R",123910,17754
"1364","D",123913,94
"1365","I",123913,0
"1366","R",123913,548
"1367","D",123914,648
"1368","I",123914,0
"1369","R",123914,2512
"1370","D",124901,1678
"1371","I",124901,68
"1372","R",124901,248
"1373","D",125901,4723
"1374","I",125901,0
"1375","R",125901,2558
"1376","D",125902,504
"1377","I",125902,0
"1378","R",125902,241
"1379","D",125903,688
"1380","I",125903,0
"1381","R",125903,1662
"1382","D",125905,674
"1383","I",125905,2
"1384","R",125905,371
"1385","D",125906,74
"1386","I",125906,0
"1387","R",125906,71
"1388","D",126901,1311
"1389","I",126901,186
"1390","R",126901,4874
"1391","D",126902,4502
"1392","I",126902,625
"1393","R",126902,16867
"1394","D",126903,2533
"1395","I",126903,316
"1396","R",126903,9622
"1397","D",126904,261
"1398","I",126904,48
"1399","R",126904,1675
"1400","D",126905,1738
"1401","I",126905,276
"1402","R",126905,8106
"1403","D",126906,206
"1404","I",126906,33
"1405","R",126906,576
"1406","D",126907,238
"1407","I",126907,28
"1408","R",126907,1365
"1409","D",126908,613
"1410","I",126908,94
"1411","R",126908,1606
"1412","D",126911,394
"1413","I",126911,112
"1414","R",126911,2564
"1415","I",127901,162
"1416","R",127901,1084
"1417","I",127903,84
"1418","R",127903,880
"1419","I",127904,99
"1420","R",127904,986
"1421","I",127905,47
"1422","R",127905,459
"1423","I",127906,103
"1424","R",127906,820
"1425","D",128901,504
"1426","I",128901,51
"1427","R",128901,1119
"1428","D",128902,443
"1429","I",128902,32
"1430","R",128902,577
"1431","D",128903,144
"1432","I",128903,7
"1433","R",128903,222
"1434","D",128904,173
"1435","I",128904,12
"1436","R",128904,689
"1437","D",129901,0
"1438","I",129901,461
"1439","R",129901,4157
"1440","I",129902,1986
"1441","R",129902,10713
"1442","I",129903,445
"1443","R",129903,4118
"1444","D",129904,0
"1445","I",129904,314
"1446","R",129904,3406
"1447","I",129905,481
"1448","R",129905,5043
"1449","I",129906,966
"1450","R",129906,5563
"1451","D",129910,0
"1452","I",129910,120
"1453","R",129910,1480
"1454","D",130901,3404
"1455","I",130901,815
"1456","R",130901,15991
"1457","D",130902,705
"1458","I",130902,205
"1459","R",130902,3420
"1460","D",131001,102
"1461","I",131001,0
"1462","R",131001,65
"1463","I",132902,32
"1464","R",132902,335
"1465","D",133901,226
"1466","I",133901,88
"1467","R",133901,1319
"1468","D",133902,166
"1469","I",133902,36
"1470","R",133902,703
"1471","D",133903,2875
"1472","I",133903,850
"1473","R",133903,11635
"1474","D",133904,451
"1475","I",133904,154
"1476","R",133904,2469
"1477","D",133905,81
"1478","I",133905,16
"1479","R",133905,411
"1480","D",134901,0
"1481","I",134901,100
"1482","R",134901,1547
"1483","I",135001,5
"1484","R",135001,90
"1485","D",136901,461
"1486","I",136901,38
"1487","R",136901,906
"1488","D",137901,3224
"1489","R",137901,2616
"1490","D",137902,531
"1491","R",137902,759
"1492","D",137903,482
"1493","R",137903,534
"1494","D",137904,522
"1495","I",137904,0
"1496","R",137904,550
"1497","I",138902,25
"1498","R",138902,308
"1499","I",138903,61
"1500","R",138903,654
"1501","I",138904,6
"1502","R",138904,152
"1503","I",139905,215
"1504","R",139905,1803
"1505","I",139909,836
"1506","R",139909,3714
"1507","I",139911,610
"1508","R",139911,6982
"1509","I",139912,173
"1510","R",139912,2554
"1511","I",140901,44
"1512","R",140901,310
"1513","I",140904,166
"1514","R",140904,1432
"1515","I",140905,68
"1516","R",140905,727
"1517","I",140907,18
"1518","R",140907,288
"1519","I",140908,67
"1520","R",140908,731
"1521","D",141901,1433
"1522","I",141901,281
"1523","R",141901,6095
"1524","D",141902,131
"1525","I",141902,38
"1526","R",141902,850
"1527","D",142901,1006
"1528","I",142901,60
"1529","R",142901,583
"1530","D",143901,444
"1531","I",143901,1
"1532","R",143901,2888
"1533","D",143902,149
"1534","I",143902,0
"1535","R",143902,727
"1536","D",143903,292
"1537","R",143903,1558
"1538","D",143904,58
"1539","R",143904,357
"1540","D",143905,98
"1541","R",143905,629
"1542","D",143906,72
"1543","R",143906,520
"1544","D",144901,590
"1545","I",144901,67
"1546","R",144901,2666
"1547","D",144902,559
"1548","I",144902,122
"1549","R",144902,2026
"1550","D",144903,132
"1551","I",144903,11
"1552","R",144903,393
"1553","D",145901,225
"1554","I",145901,52
"1555","R",145901,1645
"1556","D",145902,226
"1557","I",145902,23
"1558","R",145902,1663
"1559","D",145906,269
"1560","I",145906,6
"1561","R",145906,1318
"1562","D",145907,159
"1563","I",145907,15
"1564","R",145907,421
"1565","D",145911,193
"1566","I",145911,34
"1567","R",145911,1863
"1568","D",146901,68
"1569","I",146901,492
"1570","R",146901,3791
"1571","D",146902,12
"1572","I",146902,630
"1573","R",146902,6159
"1574","D",146903,0
"1575","I",146903,30
"1576","R",146903,335
"1577","D",146904,0
"1578","I",146904,139
"1579","R",146904,2342
"1580","I",146905,73
"1581","R",146905,848
"1582","I",146906,424
"1583","R",146906,3413
"1584","D",146907,0
"1585","I",146907,195
"1586","R",146907,3169
"1587","D",147901,139
"1588","I",147901,10
"1589","R",147901,377
"1590","D",147902,607
"1591","I",147902,86
"1592","R",147902,3053
"1593","D",147903,907
"1594","I",147903,61
"1595","R",147903,2140
"1596","I",148901,18
"1597","R",148901,295
"1598","I",148902,7
"1599","R",148902,257
"1600","I",148903,28
"1601","R",148903,241
"1602","I",148905,13
"1603","R",148905,261
"1604","D",149901,363
"1605","I",149901,51
"1606","R",149901,1877
"1607","D",149902,362
"1608","I",149902,48
"1609","R",149902,1206
"1610","D",150901,0
"1611","I",150901,1516
"1612","R",150901,7906
"1613","I",152901,9755
"1614","R",152901,38125
"1615","I",152902,166
"1616","R",152902,1519
"1617","I",152903,189
"1618","R",152903,1242
"1619","I",152906,1141
"1620","R",152906,10997
"1621","I",152907,2170
"1622","R",152907,15535
"1623","I",152908,189
"1624","R",152908,1361
"1625","I",152909,142
"1626","R",152909,1635
"1627","I",152910,130
"1628","R",152910,1138
"1629","I",153903,46
"1630","R",153903,430
"1631","I",153904,56
"1632","R",153904,587
"1633","I",153905,24
"1634","R",153905,365
"1635","I",153907,32
"1636","R",153907,317
"1637","D",154901,594
"1638","I",154901,27
"1639","R",154901,2431
"1640","D",154903,84
"1641","I",154903,9
"1642","R",154903,727
"1643","D",155901,0
"1644","I",155901,357
"1645","R",155901,2874
"1646","I",156902,99
"1647","R",156902,1003
"1648","I",156905,34
"1649","R",156905,336
"1650","D",157901,0
"1651","I",157901,175
"1652","R",157901,1721
"1653","D",158901,2024
"1654","R",158901,3572
"1655","D",158902,314
"1656","R",158902,1189
"1657","D",158904,31
"1658","R",158904,128
"1659","D",158905,541
"1660","R",158905,1610
"1661","D",158906,673
"1662","R",158906,2008
"1663","D",159901,8811
"1664","I",159901,534
"1665","R",159901,2551
"1666","I",160901,96
"1667","R",160901,1340
"1668","I",160904,80
"1669","R",160904,928
"1670","I",160905,7
"1671","R",160905,148
"1672","D",161901,120
"1673","I",161901,20
"1674","R",161901,1100
"1675","D",161903,4819
"1676","I",161903,508
"1677","R",161903,14943
"1678","D",161906,1904
"1679","I",161906,108
"1680","R",161906,1579
"1681","D",161907,541
"1682","I",161907,82
"1683","R",161907,2538
"1684","D",161908,251
"1685","I",161908,23
"1686","R",161908,819
"1687","D",161909,526
"1688","I",161909,57
"1689","R",161909,1812
"1690","D",161910,265
"1691","I",161910,73
"1692","R",161910,1608
"1693","D",161912,154
"1694","I",161912,21
"1695","R",161912,789
"1696","D",161914,11703
"1697","I",161914,714
"1698","R",161914,11260
"1699","D",161916,500
"1700","I",161916,75
"1701","R",161916,2554
"1702","D",161918,167
"1703","I",161918,45
"1704","R",161918,1032
"1705","D",161919,284
"1706","I",161919,58
"1707","R",161919,1369
"1708","D",161920,729
"1709","I",161920,116
"1710","R",161920,3599
"1711","D",161921,1313
"1712","I",161921,101
"1713","R",161921,2385
"1714","D",161922,1035
"1715","I",161922,150
"1716","R",161922,3734
"1717","D",161923,434
"1718","I",161923,46
"1719","R",161923,1273
"1720","D",161924,77
"1721","I",161924,10
"1722","R",161924,309
"1723","D",161925,76
"1724","I",161925,9
"1725","R",161925,404
"1726","D",162904,120
"1727","I",162904,0
"1728","R",162904,352
"1729","D",163901,778
"1730","I",163901,122
"1731","R",163901,2260
"1732","D",163902,177
"1733","I",163902,24
"1734","R",163902,746
"1735","D",163903,644
"1736","I",163903,97
"1737","R",163903,1167
"1738","D",163904,1218
"1739","I",163904,138
"1740","R",163904,2609
"1741","D",163908,3213
"1742","I",163908,596
"1743","R",163908,7201
"1744","D",164901,0
"1745","I",164901,56
"1746","R",164901,704
"1747","D",165901,0
"1748","I",165901,5084
"1749","R",165901,36097
"1750","I",165902,250
"1751","R",165902,2599
"1752","D",166901,497
"1753","I",166901,66
"1754","R",166901,1621
"1755","D",166902,73
"1756","I",166902,6
"1757","R",166902,326
"1758","D",166903,242
"1759","I",166903,28
"1760","R",166903,954
"1761","D",166904,719
"1762","I",166904,84
"1763","R",166904,2043
"1764","D",166905,262
"1765","I",166905,47
"1766","R",166905,912
"1767","D",166907,35
"1768","I",166907,10
"1769","R",166907,193
"1770","D",167901,12
"1771","I",167901,84
"1772","R",167901,1353
"1773","I",167902,21
"1774","R",167902,415
"1775","D",167904,0
"1776","I",167904,12
"1777","R",167904,218
"1778","I",168901,107
"1779","R",168901,1229
"1780","I",168902,21
"1781","R",168902,333
"1782","I",168903,21
"1783","R",168903,283
"1784","I",169901,257
"1785","R",169901,3864
"1786","I",169902,91
"1787","R",169902,1120
"1788","I",169906,51
"1789","R",169906,719
"1790","I",169908,10
"1791","R",169908,151
"1792","I",169909,54
"1793","R",169909,617
"1794","I",169910,26
"1795","R",169910,420
"1796","I",169911,51
"1797","R",169911,1013
"1798","D",170902,26102
"1799","I",170902,1820
"1800","R",170902,65731
"1801","D",170903,2565
"1802","I",170903,246
"1803","R",170903,15403
"1804","D",170904,2884
"1805","I",170904,282
"1806","R",170904,12975
"1807","D",170906,3000
"1808","I",170906,239
"1809","R",170906,11300
"1810","D",170907,595
"1811","I",170907,60
"1812","R",170907,3478
"1813","D",170908,2756
"1814","I",170908,183
"1815","R",170908,8954
"1816","I",171901,386
"1817","R",171901,3832
"1818","I",171902,29
"1819","R",171902,409
"1820","I",172902,550
"1821","R",172902,1915
"1822","I",172905,255
"1823","R",172905,1825
"1824","I",173901,29
"1825","R",173901,566
"1826","D",174901,110
"1827","I",174901,12
"1828","R",174901,498
"1829","D",174902,202
"1830","I",174902,32
"1831","R",174902,1098
"1832","D",174903,184
"1833","I",174903,16
"1834","R",174903,909
"1835","D",174904,5215
"1836","I",174904,435
"1837","R",174904,8673
"1838","D",174906,169
"1839","I",174906,30
"1840","R",174906,939
"1841","D",174908,308
"1842","I",174908,25
"1843","R",174908,1176
"1844","D",174909,58
"1845","I",174909,4
"1846","R",174909,486
"1847","D",174910,49
"1848","I",174910,7
"1849","R",174910,553
"1850","D",174911,159
"1851","I",174911,32
"1852","R",174911,933
"1853","D",175902,286
"1854","I",175902,42
"1855","R",175902,1403
"1856","D",175903,2054
"1857","I",175903,176
"1858","R",175903,5538
"1859","D",175904,251
"1860","I",175904,31
"1861","R",175904,1055
"1862","D",175905,145
"1863","I",175905,16
"1864","R",175905,582
"1865","D",175907,414
"1866","I",175907,36
"1867","R",175907,1255
"1868","D",175910,270
"1869","I",175910,35
"1870","R",175910,1038
"1871","D",175911,208
"1872","I",175911,31
"1873","R",175911,724
"1874","D",176901,0
"1875","I",176901,113
"1876","R",176901,938
"1877","I",176902,254
"1878","R",176902,1831
"1879","I",176903,75
"1880","R",176903,1305
"1881","I",177901,90
"1882","R",177901,673
"1883","I",177902,385
"1884","R",177902,2293
"1885","I",177903,61
"1886","R",177903,677
"1887","I",177905,37
"1888","R",177905,302
"1889","D",178901,298
"1890","R",178901,301
"1891","D",178902,890
"1892","R",178902,1013
"1893","D",178903,2064
"1894","R",178903,4250
"1895","D",178904,35844
"1896","R",178904,30359
"1897","D",178905,282
"1898","R",178905,169
"1899","D",178906,233
"1900","R",178906,589
"1901","D",178908,279
"1902","R",178908,741
"1903","D",178909,3501
"1904","R",178909,1685
"1905","D",178912,1249
"1906","R",178912,1637
"1907","D",178913,574
"1908","R",178913,788
"1909","D",178914,4151
"1910","R",178914,9602
"1911","D",178915,1425
"1912","R",178915,471
"1913","I",179901,173
"1914","R",179901,2217
"1915","I",180901,0
"1916","R",180901,0
"1917","I",180902,39
"1918","R",180902,534
"1919","I",180903,52
"1920","R",180903,341
"1921","I",180904,96
"1922","R",180904,892
"1923","D",181901,0
"1924","I",181901,398
"1925","R",181901,5054
"1926","D",181905,0
"1927","I",181905,204
"1928","R",181905,3194
"1929","I",181906,689
"1930","R",181906,3724
"1931","D",181907,0
"1932","I",181907,525
"1933","R",181907,8068
"1934","I",181908,539
"1935","R",181908,6623
"1936","I",182901,81
"1937","R",182901,767
"1938","I",182902,65
"1939","R",182902,1086
"1940","D",182903,3
"1941","I",182903,490
"1942","R",182903,4341
"1943","D",182904,0
"1944","I",182904,95
"1945","R",182904,1516
"1946","I",182905,20
"1947","R",182905,218
"1948","I",182906,47
"1949","R",182906,513
"1950","D",183901,192
"1951","I",183901,15
"1952","R",183901,841
"1953","D",183902,1353
"1954","I",183902,79
"1955","R",183902,5950
"1956","D",183904,81
"1957","I",183904,9
"1958","R",183904,652
"1959","D",184901,85
"1960","I",184901,58
"1961","R",184901,1130
"1962","D",184902,842
"1963","I",184902,265
"1964","R",184902,6292
"1965","D",184903,2773
"1966","I",184903,732
"1967","R",184903,16724
"1968","D",184904,233
"1969","I",184904,90
"1970","R",184904,1971
"1971","D",184907,1366
"1972","I",184907,493
"1973","R",184907,10224
"1974","D",184908,261
"1975","I",184908,84
"1976","R",184908,1909
"1977","D",184909,201
"1978","I",184909,68
"1979","R",184909,2157
"1980","D",184911,91
"1981","I",184911,31
"1982","R",184911,705
"1983","I",185901,56
"1984","R",185901,302
"1985","I",185902,51
"1986","R",185902,645
"1987","I",185903,121
"1988","R",185903,942
"1989","I",185904,11
"1990","R",185904,208
"1991","D",186901,362
"1992","I",186901,24
"1993","R",186901,393
"1994","D",186902,1226
"1995","I",186902,103
"1996","R",186902,1427
"1997","D",186903,172
"1998","I",186903,8
"1999","R",186903,455
"2000","I",187901,58
"2001","R",187901,793
"2002","D",187903,0
"2003","I",187903,195
"2004","R",187903,1418
"2005","D",187904,0
"2006","I",187904,116
"2007","R",187904,1409
"2008","I",187906,56
"2009","R",187906,599
"2010","D",187907,0
"2011","I",187907,1015
"2012","R",187907,9235
"2013","D",187910,0
"2014","I",187910,129
"2015","R",187910,1707
"2016","I",188901,5743
"2017","R",188901,37535
"2018","I",188902,91
"2019","R",188902,937
"2020","I",188903,127
"2021","R",188903,837
"2022","I",188904,670
"2023","R",188904,6860
"2024","D",189901,931
"2025","I",189901,36
"2026","R",189901,406
"2027","D",189902,385
"2028","I",189902,14
"2029","R",189902,154
"2030","I",190903,253
"2031","R",190903,3626
"2032","I",191901,2124
"2033","R",191901,19879
"2034","D",192901,136
"2035","I",192901,15
"2036","R",192901,475
"2037","D",193902,104
"2038","I",193902,39
"2039","R",193902,872
"2040","I",194902,46
"2041","R",194902,632
"2042","I",194903,106
"2043","R",194903,1242
"2044","I",194904,331
"2045","R",194904,1632
"2046","I",194905,70
"2047","R",194905,644
"2048","D",195901,1655
"2049","I",195901,109
"2050","R",195901,1103
"2051","D",195902,148
"2052","I",195902,14
"2053","R",195902,115
"2054","D",196901,140
"2055","R",196901,187
"2056","D",196902,435
"2057","R",196902,955
"2058","D",196903,504
"2059","R",196903,759
"2060","I",197902,29
"2061","R",197902,474
"2062","D",198901,187
"2063","I",198901,17
"2064","R",198901,668
"2065","D",198902,646
"2066","I",198902,24
"2067","R",198902,529
"2068","D",198903,508
"2069","I",198903,49
"2070","R",198903,2275
"2071","D",198905,591
"2072","I",198905,35
"2073","R",198905,982
"2074","D",198906,36
"2075","I",198906,2
"2076","R",198906,85
"2077","I",199901,3854
"2078","R",199901,25478
"2079","I",199902,1143
"2080","R",199902,7258
"2081","I",200901,104
"2082","R",200901,1576
"2083","I",200902,38
"2084","R",200902,516
"2085","I",200904,38
"2086","R",200904,722
"2087","I",200906,3
"2088","R",200906,47
"2089","D",201902,1706
"2090","I",201902,124
"2091","R",201902,6158
"2092","D",201903,190
"2093","I",201903,10
"2094","R",201903,676
"2095","D",201904,91
"2096","I",201904,7
"2097","R",201904,471
"2098","D",201907,183
"2099","I",201907,13
"2100","R",201907,598
"2101","D",201908,105
"2102","I",201908,9
"2103","R",201908,583
"2104","D",201910,370
"2105","I",201910,22
"2106","R",201910,1334
"2107","D",201913,92
"2108","I",201913,26
"2109","R",201913,583
"2110","D",201914,309
"2111","I",201914,32
"2112","R",201914,1522
"2113","D",202903,410
"2114","I",202903,40
"2115","R",202903,2641
"2116","D",202905,114
"2117","I",202905,15
"2118","R",202905,783
"2119","D",203901,707
"2120","I",203901,34
"2121","R",203901,1297
"2122","D",203902,148
"2123","I",203902,23
"2124","R",203902,1129
"2125","D",204901,1156
"2126","I",204901,82
"2127","R",204901,4762
"2128","D",204904,378
"2129","I",204904,23
"2130","R",204904,1974
"2131","D",205901,504
"2132","R",205901,1414
"2133","D",205902,2129
"2134","R",205902,4876
"2135","D",205903,896
"2136","R",205903,2553
"2137","D",205904,1565
"2138","I",205904,2
"2139","R",205904,1282
"2140","D",205905,561
"2141","R",205905,814
"2142","D",205906,1713
"2143","R",205906,1956
"2144","D",205907,1041
"2145","R",205907,1281
"2146","D",206901,0
"2147","I",206901,89
"2148","R",206901,1396
"2149","I",206902,29
"2150","R",206902,421
"2151","I",206903,13
"2152","R",206903,201
"2153","D",207901,221
"2154","I",207901,24
"2155","R",207901,795
"2156","I",208901,34
"2157","R",208901,375
"2158","I",208902,330
"2159","R",208902,3744
"2160","I",208903,16
"2161","R",208903,327
"2162","I",209901,44
"2163","R",209901,945
"2164","I",209902,24
"2165","R",209902,359
"2166","D",210901,749
"2167","I",210901,59
"2168","R",210901,2508
"2169","D",210902,139
"2170","I",210902,20
"2171","R",210902,1185
"2172","D",210903,310
"2173","I",210903,22
"2174","R",210903,1383
"2175","D",210904,175
"2176","I",210904,13
"2177","R",210904,579
"2178","D",210905,311
"2179","I",210905,30
"2180","R",210905,1362
"2181","D",210906,23
"2182","I",210906,4
"2183","R",210906,207
"2184","I",211901,4
"2185","R",211901,142
"2186","I",211902,46
"2187","R",211902,675
"2188","D",212901,496
"2189","I",212901,38
"2190","R",212901,1873
"2191","D",212902,442
"2192","I",212902,172
"2193","R",212902,4387
"2194","D",212903,1139
"2195","I",212903,181
"2196","R",212903,8006
"2197","D",212904,273
"2198","I",212904,92
"2199","R",212904,1919
"2200","D",212905,13815
"2201","I",212905,954
"2202","R",212905,26416
"2203","D",212906,1932
"2204","I",212906,266
"2205","R",212906,10437
"2206","D",212909,1947
"2207","I",212909,177
"2208","R",212909,5760
"2209","D",212910,617
"2210","I",212910,42
"2211","R",212910,1943
"2212","D",213901,493
"2213","I",213901,108
"2214","R",213901,3352
"2215","D",214901,5294
"2216","I",214901,93
"2217","R",214901,818
"2218","D",214902,199
"2219","I",214902,5
"2220","R",214902,79
"2221","D",214903,3372
"2222","I",214903,43
"2223","R",214903,429
"2224","I",215901,187
"2225","R",215901,2505
"2226","I",216901,13
"2227","R",216901,278
"2228","I",217901,58
"2229","R",217901,438
"2230","D",218901,315
"2231","I",218901,30
"2232","R",218901,1047
"2233","I",219901,167
"2234","R",219901,1554
"2235","I",219903,96
"2236","R",219903,1047
"2237","I",219905,23
"2238","R",219905,284
"2239","D",220901,49544
"2240","I",220901,2773
"2241","R",220901,53748
"2242","D",220902,13162
"2243","I",220902,1950
"2244","R",220902,32989
"2245","D",220904,4429
"2246","I",220904,46
"2247","R",220904,1830
"2248","D",220905,72027
"2249","I",220905,3388
"2250","R",220905,65117
"2251","D",220906,10078
"2252","I",220906,1640
"2253","R",220906,25446
"2254","D",220907,17975
"2255","I",220907,2498
"2256","R",220907,46874
"2257","D",220908,26204
"2258","I",220908,1351
"2259","R",220908,33146
"2260","D",220910,1868
"2261","I",220910,130
"2262","R",220910,2335
"2263","D",220912,16501
"2264","I",220912,884
"2265","R",220912,16070
"2266","D",220914,2487
"2267","I",220914,195
"2268","R",220914,5113
"2269","D",220915,2341
"2270","I",220915,572
"2271","R",220915,12892
"2272","D",220916,19523
"2273","I",220916,2635
"2274","R",220916,30682
"2275","D",220917,1507
"2276","I",220917,161
"2277","R",220917,2577
"2278","D",220918,9040
"2279","I",220918,1285
"2280","R",220918,21690
"2281","D",220919,3584
"2282","I",220919,490
"2283","R",220919,11504
"2284","D",220920,3064
"2285","I",220920,484
"2286","R",220920,8006
"2287","I",221901,4615
"2288","R",221901,22082
"2289","I",221904,244
"2290","R",221904,2098
"2291","I",221905,58
"2292","R",221905,529
"2293","I",221911,206
"2294","R",221911,2550
"2295","I",221912,774
"2296","R",221912,7900
"2297","D",222901,87
"2298","I",222901,5
"2299","R",222901,105
"2300","I",223901,238
"2301","R",223901,1857
"2302","I",223902,48
"2303","R",223902,275
"2304","I",223904,43
"2305","R",223904,371
"2306","I",224901,27
"2307","R",224901,562
"2308","I",224902,11
"2309","R",224902,224
"2310","I",225902,843
"2311","R",225902,4869
"2312","I",225906,138
"2313","R",225906,898
"2314","I",225907,67
"2315","R",225907,628
"2316","D",226901,0
"2317","I",226901,79
"2318","R",226901,951
"2319","I",226903,3701
"2320","R",226903,23288
"2321","I",226905,142
"2322","R",226905,1639
"2323","D",226906,0
"2324","I",226906,144
"2325","R",226906,2025
"2326","I",226907,84
"2327","R",226907,906
"2328","I",226908,110
"2329","R",226908,1085
"2330","D",227901,189898
"2331","I",227901,19917
"2332","R",227901,73276
"2333","D",227904,25922
"2334","I",227904,2737
"2335","R",227904,16205
"2336","D",227907,8703
"2337","I",227907,726
"2338","R",227907,3265
"2339","D",227909,9001
"2340","I",227909,957
"2341","R",227909,9683
"2342","D",227910,13369
"2343","I",227910,1394
"2344","R",227910,3307
"2345","D",227912,1112
"2346","I",227912,202
"2347","R",227912,2729
"2348","D",227913,7981
"2349","I",227913,1096
"2350","R",227913,15169
"2351","D",228901,311
"2352","I",228901,13
"2353","R",228901,1534
"2354","D",228903,646
"2355","I",228903,40
"2356","R",228903,2626
"2357","D",228904,54
"2358","I",228904,2
"2359","R",228904,338
"2360","D",228905,81
"2361","I",228905,1
"2362","R",228905,339
"2363","D",229901,5
"2364","I",229901,77
"2365","R",229901,1161
"2366","I",229903,287
"2367","R",229903,2840
"2368","I",229904,153
"2369","R",229904,2346
"2370","I",229905,36
"2371","R",229905,648
"2372","D",229906,0
"2373","I",229906,24
"2374","R",229906,497
"2375","D",230901,255
"2376","I",230901,49
"2377","R",230901,1478
"2378","D",230902,498
"2379","I",230902,305
"2380","R",230902,5602
"2381","D",230903,3
"2382","I",230903,99
"2383","R",230903,1106
"2384","D",230904,12
"2385","I",230904,46
"2386","R",230904,596
"2387","D",230905,126
"2388","I",230905,88
"2389","R",230905,2106
"2390","D",230906,9
"2391","I",230906,116
"2392","R",230906,1531
"2393","D",230908,0
"2394","I",230908,57
"2395","R",230908,1014
"2396","D",231901,181
"2397","I",231901,25
"2398","R",231901,508
"2399","D",231902,126
"2400","I",231902,21
"2401","R",231902,410
"2402","D",232901,206
"2403","I",232901,29
"2404","R",232901,412
"2405","D",232902,319
"2406","I",232902,39
"2407","R",232902,727
"2408","D",232903,3368
"2409","I",232903,273
"2410","R",232903,3094
"2411","D",232904,113
"2412","I",232904,34
"2413","R",232904,874
"2414","D",233901,5893
"2415","I",233901,452
"2416","R",233901,5051
"2417","D",233903,55
"2418","I",233903,9
"2419","R",233903,229
"2420","I",234902,405
"2421","R",234902,4061
"2422","I",234903,262
"2423","R",234903,2389
"2424","D",234904,0
"2425","I",234904,123
"2426","R",234904,1314
"2427","I",234905,97
"2428","R",234905,1034
"2429","D",234906,111
"2430","I",234906,462
"2431","R",234906,5063
"2432","I",234907,461
"2433","R",234907,4467
"2434","I",234909,100
"2435","R",234909,1010
"2436","D",235901,527
"2437","R",235901,467
"2438","D",235902,8257
"2439","R",235902,19310
"2440","D",235904,100
"2441","R",235904,587
"2442","D",236901,353
"2443","I",236901,26
"2444","R",236901,1462
"2445","D",236902,4979
"2446","I",236902,318
"2447","R",236902,9524
"2448","D",237902,915
"2449","I",237902,68
"2450","R",237902,1964
"2451","D",237904,4262
"2452","I",237904,350
"2453","R",237904,8821
"2454","D",237905,1221
"2455","I",237905,96
"2456","R",237905,2063
"2457","D",238902,648
"2458","I",238902,69
"2459","R",238902,1689
"2460","D",238904,177
"2461","I",238904,26
"2462","R",238904,718
"2463","D",239901,2697
"2464","I",239901,313
"2465","R",239901,9928
"2466","D",239903,197
"2467","I",239903,49
"2468","R",239903,1454
"2469","D",240901,15318
"2470","I",240901,446
"2471","R",240901,1392
"2472","D",240903,31738
"2473","I",240903,936
"2474","R",240903,4698
"2475","D",240904,999
"2476","I",240904,24
"2477","R",240904,124
"2478","D",241901,530
"2479","R",241901,1096
"2480","D",241902,695
"2481","I",241902,0
"2482","R",241902,1583
"2483","D",241903,1503
"2484","I",241903,0
"2485","R",241903,4213
"2486","D",241904,894
"2487","R",241904,1568
"2488","D",241906,149
"2489","R",241906,955
"2490","I",242902,55
"2491","R",242902,839
"2492","I",242903,41
"2493","R",242903,632
"2494","I",242905,9
"2495","R",242905,169
"2496","I",242906,35
"2497","R",242906,533
"2498","I",243901,689
"2499","R",243901,5278
"2500","I",243902,89
"2501","R",243902,1116
"2502","I",243903,279
"2503","R",243903,3111
"2504","I",243905,3436
"2505","R",243905,19823
"2506","I",243906,134
"2507","R",243906,976
"2508","I",244901,37
"2509","R",244901,321
"2510","I",244903,133
"2511","R",244903,1522
"2512","I",244905,17
"2513","R",244905,151
"2514","D",245901,266
"2515","I",245901,0
"2516","R",245901,90
"2517","D",245902,1496
"2518","I",245902,0
"2519","R",245902,574
"2520","D",245903,1214
"2521","I",245903,0
"2522","R",245903,481
"2523","D",245904,230
"2524","R",245904,217
"2525","D",246902,591
"2526","I",246902,134
"2527","R",246902,2205
"2528","D",246904,10288
"2529","I",246904,1607
"2530","R",246904,24036
"2531","D",246905,272
"2532","I",246905,41
"2533","R",246905,792
"2534","D",246906,4496
"2535","I",246906,688
"2536","R",246906,6755
"2537","D",246907,1468
"2538","I",246907,211
"2539","R",246907,3938
"2540","D",246908,1195
"2541","I",246908,315
"2542","R",246908,4371
"2543","D",246909,46217
"2544","I",246909,5613
