"","precinct","party","votes"
"284","1133612","D",1717
"285","1133613","D",286
"286","1133614","D",487
"287","1133615","D",1456
"288","1133616","D",337
"289","1133617","D",1255
"290","1133618","D",164
"291","1133619","D",83
"292","1133620","D",645
"293","1133621","D",0
"294","1133800","D",2349
"295","1133801","D",153
"296","1133802","D",2119
"297","1133803","D",1887
"298","1133805","D",2652
"299","1133806","D",517
"300","1133807","D",1109
"301","1133808","D",1404
"302","1133809","D",171
"303","1133900","D",2500
"304","1133922","D",41
"305","1133940A","D",667
"306","1133940B","D",0
"307","1133950","D",673
"308","1134000A","D",157
"309","1134000B","D",0
"310","1134000C","D",0
"311","1134001A","D",449
"312","1134001B","D",0
"313","1134001C","D",0
"314","1134002","D",361
"315","1134003A","D",98
"316","1134003B","D",0
"317","1134004","D",659
"318","1134005","D",323
"319","1134006A","D",438
"320","1134006B","D",0
"321","1134007","D",73
"322","1134008","D",204
"323","1134009","D",546
"324","1134010","D",463
"325","1134011","D",305
"326","1134012","D",28
"327","1134013","D",97
"328","1134015","D",790
"329","1134016","D",811
"330","1134017","D",173
"331","1134019","D",1003
"332","1134022","D",1196
"333","1134023","D",0
"334","1134024","D",841
"335","1134025","D",157
"336","1134026","D",66
"337","1134027","D",107
"338","1134028","D",421
"339","1134029","D",4
"340","1134030","D",15
"341","1134031","D",965
"342","1134032","D",1246
"343","1134033","D",568
"344","1134035","D",516
"345","1134036","D",355
"346","1134037","D",85
"347","1134038","D",954
"348","1134039","D",269
"349","1134040","D",374
"350","1134041","D",324
"351","1134043","D",534
"352","1134044","D",461
"353","1134046","D",514
"354","1134047","D",359
"355","1134048","D",5
"356","1134049","D",0
"357","1134050","D",1774
"358","1134051","D",0
"359","1134052","D",1817
"360","1134053","D",171
"361","1134054","D",110
"362","1134055","D",1035
"363","1134056","D",1056
"364","1134057","D",654
"365","1134058","D",316
"366","1134059","D",156
"367","1134060","D",874
"368","1134061","D",858
"369","1134062","D",693
"370","1134063","D",1159
"371","1134065","D",380
"372","1134066","D",349
"373","1134067","D",735
"374","1134068","D",674
"375","1134069","D",1120
"376","1134070","D",624
"377","1134071","D",124
"378","1134072","D",125
"379","1134073","D",706
"380","1134074","D",1282
"381","1134075","D",367
"382","1134076","D",990
"383","1134077","D",405
"384","1134078","D",625
"385","1134079","D",1793
"386","1134080","D",277
"387","1134081","D",1141
"388","1134082","D",139
"389","1134083","D",385
"390","1134084","D",254
