"","precinct","party","votes"
"3014","2594050","D",320
"3015","2594070","D",31
"3016","2594100","D",359
"3017","2610001","D",26
"3018","2610002","D",33
"3019","2610003","D",8
"3020","2610004","D",9
"3021","2610005","D",12
"3022","2610006","D",14
"3023","2650101","D",291
"3024","2650107","D",103
"3025","2650109","D",133
"3026","2650113","D",233
"3027","2650118","D",66
"3028","2650119","D",290
"3029","2650202","D",197
"3030","2650211","D",139
"3031","2650215","D",289
"3032","2650220","D",281
"3033","2650303","D",90
"3034","2650308","D",75
"3035","2650312","D",513
"3036","2650314","D",350
"3037","2650404","D",53
"3038","2650405","D",238
"3039","2650406","D",313
"3040","2650410","D",15
"3041","2650416","D",174
"3042","2650417","D",180
"3043","270101","D",712
"3044","270102","D",366
"3045","270103","D",630
"3046","270104","D",801
"3047","270105","D",126
"3048","270106","D",1444
"3049","270107","D",96
"3050","270108","D",124
"3051","270109","D",600
"3052","270110","D",198
"3053","270111","D",874
"3054","270113","D",28
"3055","270201","D",752
"3056","270202","D",958
"3057","270203","D",708
"3058","270204","D",526
"3059","270205","D",1334
"3060","270206","D",532
"3061","270207","D",873
"3062","270208","D",1863
"3063","270209","D",1656
"3064","270210","D",1359
"3065","270301","D",262
"3066","270302","D",717
"3067","270303","D",967
"3068","270304","D",108
"3069","270305","D",433
"3070","270306","D",493
"3071","270307","D",851
"3072","270308","D",428
"3073","270309","D",67
"3074","270310","D",36
"3075","270311","D",227
"3076","270312","D",162
"3077","270313","D",423
"3078","270314","D",508
"3079","270315","D",843
"3080","270317","D",1059
"3081","270401","D",148
"3082","270402","D",364
"3083","270404A","D",1172
"3084","270404B","D",0
"3085","270405","D",1518
"3086","270406","D",599
"3087","270408","D",1572
"3088","270409","D",396
"3089","270410","D",543
"3090","270412","D",1628
"3091","270413","D",1751
"3092","2710001","D",101
"3093","2710002","D",139
"3094","2710003","D",125
"3095","2710004","D",96
"3096","2730011","D",387
"3097","2730012","D",309
"3098","2730013","D",442
"3099","2730014","D",141
"3100","2730021","D",139
"3101","2730022","D",258
"3102","2730023","D",362
"3103","2730024","D",356
"3104","2730031","D",311
"3105","2730032","D",281
"3106","2730033","D",170
"3107","2730034","D",70
"3108","2730035","D",266
"3109","2730041","D",165
"3110","2730042","D",268
"3111","2730043","D",415
"3112","2730044","D",131
"3113","2730045","D",287
"3114","2810001","D",263
"3115","2810002","D",345
"3116","2810003","D",207
"3117","2810004","D",116
"3118","2810005","D",32
"3119","2810006","D",32
"3120","2810007","D",59
"3121","2810008","D",206
"3122","2810009","D",176
"3123","2830001","D",267
"3124","2830002","D",171
"3125","2830003","D",310
"3126","2830004","D",5
"3127","2830005","D",246
"3128","2830006","D",140
"3129","283003A","D",2
"3130","2850001","D",100
"3131","2850002","D",171
"3132","2850007","D",24
"3133","2850008","D",46
"3134","2850009","D",134
"3135","2850011","D",29
"3136","2850012","D",30
"3137","2850015","D",17
"3138","2850016","D",32
"3139","2850017","D",23
"3140","2850019","D",20
"3141","2850020","D",11
"3142","2850023","D",127
"3143","2850026","D",50
"3144","2850027","D",14
"3145","2850029","D",111
"3146","2850030","D",145
"3147","2850031","D",90
"3148","2850032","D",23
"3149","2870101","D",211
"3150","2870102","D",75
"3151","2870103","D",13
"3152","2870201","D",20
"3153","2870202","D",129
"3154","2870203","D",27
"3155","2870301","D",10
"3156","2870302","D",168
"3157","2870303","D",170
"3158","2870304","D",28
"3159","2870401","D",112
"3160","2870402","D",34
"3161","2870403","D",33
"3162","2870404","D",141
"3163","2870405","D",54
"3164","2890007","D",23
"3165","2890008","D",81
"3166","2890009","D",10
"3167","2890010","D",50
"3168","2890011","D",72
"3169","2890012","D",123
"3170","2890013","D",35
"3171","289001A","D",14
"3172","289005A","D",0
"3173","289014A","D",24
"3174","291001","D",327
"3175","291002","D",206
"3176","291003","D",673
"3177","291004","D",322
"3178","291005","D",304
"3179","291006","D",885
"3180","291007","D",555
"3181","291008","D",825
"3182","291009","D",437
"3183","291010","D",218
"3184","291011","D",166
"3185","291012","D",615
"3186","291013","D",980
"3187","291014","D",485
"3188","291015","D",489
"3189","291016","D",462
"3190","291017","D",49
"3191","291018","D",815
"3192","291019","D",263
"3193","291020","D",899
"3194","291021","D",687
"3195","291022","D",373
"3196","291023","D",935
"3197","291024","D",917
"3198","291025","D",192
"3199","291026","D",508
"3200","291027","D",101
"3201","291028","D",315
"3202","291029","D",644
"3203","291030","D",14
"3204","291031","D",564
"3205","291032","D",894
"3206","291033","D",624
"3207","291034","D",1366
"3208","291035","D",135
"3209","291036","D",1134
"3210","291037","D",853
"3211","291038","D",1021
"3212","291039","D",881
"3213","291040","D",871
"3214","291041","D",775
"3215","291042","D",470
"3216","291043","D",529
"3217","291044","D",817
"3218","291045","D",1031
"3219","291046","D",690
"3220","291047","D",552
"3221","291048","D",718
"3222","291049","D",793
"3223","291050","D",478
"3224","291051","D",724
"3225","291052","D",611
"3226","291053","D",78
"3227","291054","D",755
"3228","291055","D",809
"3229","291056","D",670
"3230","291057","D",508
"3231","291058","D",555
"3232","291059","D",68
"3233","291060","D",932
"3234","291061","D",861
"3235","291062","D",68
"3236","291063","D",406
"3237","291064","D",288
"3238","291065","D",530
"3239","291066","D",209
"3240","291067","D",495
"3241","291068","D",510
"3242","291069","D",197
"3243","291070","D",285
"3244","291071","D",518
"3245","291072","D",773
"3246","291073","D",1584
"3247","291074","D",8
"3248","291075","D",686
"3249","291076","D",834
"3250","291077","D",713
"3251","291078","D",202
"3252","291079","D",1848
"3253","291080","D",1573
"3254","291081","D",215
"3255","291082","D",1261
"3256","291083","D",1076
"3257","291084","D",700
"3258","291085","D",579
"3259","291086","D",960
"3260","291087","D",536
"3261","291088","D",340
"3262","291089","D",166
"3263","291090","D",2
"3264","291091","D",698
"3265","291092","D",248
"3266","291093","D",224
"3267","291094","D",556
"3268","291095","D",47
"3269","291096","D",14
"3270","291097","D",287
"3271","291098","D",305
"3272","291099","D",1809
"3273","291100","D",779
"3274","291101","D",1
"3275","291102","D",243
"3276","291103","D",0
"3277","291104","D",1184
"3278","291105","D",11
"3279","291106","D",0
"3280","291107","D",643
"3281","291108","D",1406
"3282","291109","D",0
"3283","291110","D",1590
"3284","291111","D",1840
"3285","291112","D",1648
"3286","291113","D",1014
"3287","291114","D",0
"3288","291115","D",56
"3289","291116","D",149
"3290","291117","D",113
"3291","291118","D",432
"3292","291119","D",37
"3293","291120","D",43
"3294","291121","D",2389
"3295","291122","D",2080
"3296","291123","D",120
"3297","291124","D",182
"3298","291125","D",35
"3299","291126","D",0
"3300","291127","D",229
"3301","291128","D",188
"3302","291129","D",125
"3303","291130","D",0
"3304","291131","D",0
"3305","291132","D",2
"3306","291133","D",0
"3307","291134","D",0
"3308","291135","D",1
"3309","291136","D",66
"3310","291137","D",0
"3311","291138","D",5
"3312","291139","D",0
"3313","292001","D",258
"3314","292002","D",442
"3315","292003","D",1015
"3316","292004","D",812
"3317","292005","D",383
"3318","292006","D",11
"3319","292007","D",756
"3320","292008","D",352
"3321","292009","D",713
"3322","292010","D",327
"3323","292011","D",705
"3324","292012","D",548
"3325","292013","D",489
"3326","292014","D",498
"3327","292015","D",614
"3328","292016","D",419
"3329","292017","D",349
"3330","292018","D",506
"3331","292019","D",566
"3332","292020","D",842
"3333","292021","D",916
"3334","292022","D",514
"3335","292023","D",1205
"3336","292024","D",679
"3337","292025","D",1003
"3338","292026","D",867
"3339","292027","D",570
"3340","292028","D",1001
"3341","292029","D",426
"3342","292030","D",533
"3343","292031","D",560
"3344","292032","D",201
"3345","292033","D",234
"3346","292034","D",238
"3347","292035","D",615
"3348","292036","D",774
"3349","292037","D",557
"3350","292038","D",445
"3351","292039","D",529
"3352","292040","D",954
"3353","292041","D",1083
"3354","292042","D",649
"3355","292043","D",609
"3356","292044","D",765
"3357","292045","D",1034
"3358","292046","D",1003
"3359","292047","D",765
"3360","292048","D",602
"3361","292049","D",1102
"3362","292050","D",719
"3363","292051","D",223
"3364","292052","D",351
"3365","292053","D",456
"3366","292054","D",929
"3367","292055","D",685
"3368","292056","D",543
"3369","292057","D",807
"3370","292058","D",815
"3371","292059","D",806
"3372","292060","D",570
"3373","292061","D",421
"3374","292062","D",471
"3375","292063","D",330
"3376","292064","D",882
"3377","292065","D",2462
"3378","292066","D",1403
"3379","292067","D",135
"3380","292068","D",1476
"3381","292069","D",980
"3382","292070","D",689
"3383","292071","D",228
"3384","292072","D",1161
"3385","292073","D",440
"3386","292074","D",363
"3387","292075","D",130
"3388","292076","D",850
"3389","292077","D",865
"3390","292078","D",908
"3391","292079","D",205
"3392","292080","D",331
"3393","292081","D",318
"3394","292082","D",493
"3395","292083","D",347
"3396","292084","D",1159
"3397","292085","D",569
"3398","292086","D",1216
"3399","292087","D",671
"3400","292088","D",1428
"3401","292089","D",152
"3402","292090","D",694
"3403","292091","D",1052
"3404","292092","D",163
"3405","292093","D",345
"3406","292094","D",49
"3407","292095","D",597
"3408","292096","D",792
"3409","292097","D",908
"3410","292098","D",503
"3411","292099","D",530
"3412","292100","D",454
"3413","292101","D",1842
"3414","292102","D",972
"3415","292103","D",94
"3416","292104","D",97
"3417","292105","D",165
"3418","292106","D",191
"3419","292107","D",143
"3420","292108","D",405
"3421","292109","D",0
"3422","292110","D",488
"3423","292111","D",379
"3424","292112","D",637
"3425","292113","D",16
"3426","292114","D",799
"3427","292115","D",574
"3428","292116","D",1
"3429","292117","D",203
"3430","292118","D",13
"3431","292119","D",118
"3432","292120","D",43
"3433","292121","D",198
"3434","292122","D",545
"3435","292123","D",655
"3436","292124","D",257
"3437","292125","D",1591
"3438","292126","D",521
"3439","292127","D",930
"3440","292128","D",774
"3441","292129","D",1
"3442","292130","D",0
"3443","292131","D",111
"3444","292132","D",2
"3445","292133","D",132
"3446","292134","D",448
"3447","292135","D",224
"3448","292136","D",110
"3449","292137","D",438
"3450","292138","D",350
"3451","292139","D",665
"3452","292140","D",525
"3453","292141","D",518
"3454","292142","D",185
"3455","292143","D",790
"3456","292144","D",753
"3457","292145","D",129
"3458","292146","D",19
"3459","292147","D",120
"3460","292148","D",1169
"3461","292149","D",505
"3462","292150","D",5
"3463","292151","D",15
"3464","292152","D",215
"3465","292153","D",125
"3466","292154","D",128
"3467","292155","D",2
"3468","292156","D",316
"3469","292157","D",0
"3470","292158","D",0
"3471","292159","D",89
"3472","292160","D",57
"3473","292161","D",792
"3474","292162","D",3
"3475","293001","D",656
"3476","293002","D",854
"3477","293003","D",21
"3478","293004","D",0
"3479","293005","D",294
"3480","293006","D",279
"3481","293007","D",606
"3482","293008","D",27
"3483","293009","D",0
"3484","293010","D",154
"3485","2930101","D",209
"3486","2930102","D",37
"3487","2930103","D",55
"3488","2930104","D",62
"3489","293011","D",262
"3490","293012","D",122
"3491","293013","D",520
"3492","293014","D",198
"3493","293015","D",394
"3494","293016","D",68
"3495","293017","D",174
"3496","293018","D",430
"3497","293019","D",216
"3498","293020","D",725
"3499","2930201","D",112
"3500","2930202","D",212
"3501","2930203","D",72
"3502","2930204","D",54
"3503","2930205","D",89
"3504","2930206","D",33
"3505","293021","D",336
"3506","293022","D",412
"3507","293023","D",917
"3508","293024","D",1
"3509","293025","D",435
"3510","293026","D",317
"3511","293027","D",326
"3512","293028","D",509
"3513","293029","D",473
"3514","293030","D",471
"3515","2930301","D",170
"3516","2930302","D",70
"3517","2930303","D",12
"3518","2930304","D",66
"3519","2930305","D",27
"3520","293031","D",6
"3521","293032","D",830
"3522","293033","D",355
"3523","293034","D",303
"3524","293035","D",306
"3525","293036","D",1242
"3526","293037","D",1008
"3527","293038","D",473
"3528","293039","D",850
"3529","293040","D",514
"3530","2930401","D",295
"3531","2930402","D",31
"3532","2930403","D",22
"3533","2930404","D",30
"3534","2930405","D",22
"3535","2930406","D",13
"3536","293041","D",134
"3537","293042","D",973
"3538","293043","D",422
"3539","293044","D",372
"3540","293045","D",293
"3541","293046","D",390
"3542","293047","D",476
"3543","293048","D",422
"3544","293049","D",473
"3545","293050","D",281
"3546","293051","D",104
"3547","293052","D",1018
"3548","293053","D",368
"3549","293054","D",703
"3550","293055","D",879
"3551","293056","D",731
"3552","293057","D",143
"3553","293058","D",1685
"3554","293059","D",374
"3555","293060","D",465
"3556","293061","D",489
"3557","293062","D",7
"3558","293063","D",493
"3559","293064","D",105
"3560","293065","D",9
"3561","293066","D",481
"3562","293067","D",402
"3563","293068","D",733
"3564","293069","D",769
"3565","293070","D",666
"3566","293071","D",737
"3567","293072","D",726
"3568","293073","D",444
"3569","293074","D",932
"3570","293075","D",577
"3571","293076","D",300
"3572","293077","D",601
"3573","293078","D",680
"3574","293079","D",712
"3575","293080","D",238
"3576","293081","D",523
"3577","293082","D",558
"3578","293083","D",346
"3579","293084","D",673
"3580","293085","D",297
"3581","293086","D",421
"3582","293087","D",322
"3583","293088","D",618
"3584","293089","D",681
"3585","293090","D",686
"3586","293091","D",115
"3587","293092","D",418
"3588","293093","D",842
"3589","293094","D",529
"3590","293095","D",815
"3591","293096A","D",705
"3592","293096B","D",0
"3593","293097","D",1
"3594","293098","D",431
"3595","293099","D",1447
"3596","293100","D",752
"3597","293101","D",882
"3598","293102","D",675
"3599","293103","D",179
"3600","293104","D",593
"3601","293105","D",798
"3602","293106","D",492
"3603","293107","D",653
"3604","293108","D",269
"3605","293109","D",1111
"3606","293110","D",808
"3607","293111","D",0
"3608","293112","D",418
"3609","293113","D",388
"3610","293114","D",390
"3611","293115","D",435
"3612","293116","D",655
"3613","293117","D",688
"3614","293118","D",233
"3615","293119","D",953
"3616","293120","D",757
"3617","293121","D",883
"3618","293122","D",517
"3619","293123","D",107
"3620","293124","D",532
"3621","293125","D",1273
"3622","293126","D",279
"3623","293127","D",1208
"3624","293128","D",18
"3625","293129","D",1245
"3626","293130","D",330
"3627","293131","D",4
"3628","293132","D",337
"3629","293133","D",0
"3630","293134","D",959
"3631","293135","D",248
"3632","293136","D",191
"3633","293137","D",898
"3634","293138","D",4
"3635","293139","D",483
"3636","293140","D",158
"3637","293141","D",564
"3638","293142","D",74
"3639","293143","D",580
"3640","293144","D",2
"3641","293145","D",551
"3642","293146","D",1208
"3643","293147","D",966
"3644","293148","D",224
"3645","293149","D",1025
"3646","293150","D",8
"3647","293151","D",876
"3648","293152","D",417
"3649","293153","D",420
"3650","293154","D",323
"3651","293155","D",90
"3652","293156","D",3
"3653","293157","D",634
"3654","293158A","D",9
"3655","293158B","D",3
"3656","293159","D",642
"3657","293160","D",515
"3658","293161","D",676
"3659","293162","D",417
"3660","293163","D",573
"3661","293164","D",1001
"3662","293165","D",749
"3663","293166","D",139
"3664","293167","D",3
"3665","293168","D",268
"3666","293169","D",47
"3667","293170","D",0
"3668","293171","D",3
"3669","293172","D",200
"3670","293173","D",768
"3671","293174","D",965
"3672","293175","D",219
"3673","293176","D",4
"3674","293178","D",0
"3675","293179","D",1
"3676","293180","D",251
"3677","293181","D",413
"3678","293182","D",295
"3679","293183","D",2
"3680","293184","D",42
"3681","293185","D",61
"3682","293186","D",1
"3683","293187","D",1
"3684","293188A","D",0
"3685","293188B","D",0
"3686","293189","D",391
"3687","293190","D",0
"3688","293191","D",64
"3689","294001","D",762
"3690","294002","D",278
"3691","294003","D",392
"3692","294004","D",273
"3693","294005","D",573
"3694","294006","D",239
"3695","294007","D",236
"3696","294008","D",197
"3697","294009","D",274
"3698","294010","D",364
"3699","294011","D",443
"3700","294012","D",239
"3701","294013","D",315
"3702","294014","D",169
"3703","294015","D",632
"3704","294016","D",767
"3705","294017","D",812
"3706","294018","D",478
"3707","294019","D",802
"3708","294020","D",219
"3709","294021","D",314
"3710","294022","D",43
"3711","294023","D",673
"3712","294024","D",880
"3713","294025","D",359
"3714","294026","D",1092
"3715","294027","D",536
"3716","294028","D",899
"3717","294029","D",751
"3718","294030","D",127
"3719","294031","D",596
"3720","294032","D",582
"3721","294033","D",1011
"3722","294034","D",536
"3723","294035","D",23
"3724","294036","D",1041
"3725","294037","D",634
"3726","294038","D",851
"3727","294039","D",518
"3728","294040","D",387
"3729","294041","D",815
"3730","294042","D",51
"3731","294043","D",97
"3732","294044","D",399
"3733","294045","D",714
"3734","294046","D",553
"3735","294047","D",694
"3736","294048","D",587
"3737","294049","D",656
"3738","294050","D",433
"3739","294051","D",521
"3740","294052","D",608
"3741","294053","D",556
"3742","294054","D",1128
"3743","294055","D",399
"3744","294056","D",787
"3745","294057","D",410
"3746","294058","D",426
"3747","294059","D",566
"3748","294060","D",592
"3749","294061","D",679
"3750","294062","D",208
"3751","294063","D",249
"3752","294064","D",658
"3753","294065","D",1164
"3754","294066","D",1072
"3755","294067","D",414
"3756","294068","D",84
"3757","294069","D",270
"3758","294070","D",1024
"3759","294071","D",243
"3760","294072","D",564
"3761","294073","D",323
"3762","294074","D",484
"3763","294075","D",216
"3764","294076","D",804
"3765","294077","D",732
"3766","294078","D",194
"3767","294079","D",367
"3768","294080","D",575
"3769","294081","D",78
"3770","294082","D",620
"3771","294083","D",0
"3772","294084","D",131
"3773","294085","D",3
"3774","294086","D",100
"3775","294087","D",496
"3776","294088","D",1270
"3777","294089","D",808
"3778","294090","D",590
"3779","294091","D",308
"3780","294092","D",444
"3781","294093","D",705
"3782","294094","D",464
"3783","294095","D",385
"3784","294096","D",633
"3785","294097","D",377
"3786","294098","D",445
"3787","294099","D",334
"3788","294100","D",282
"3789","294101","D",232
"3790","294102","D",210
"3791","294103","D",4
"3792","294104","D",483
"3793","294105","D",493
"3794","294106","D",141
"3795","294107","D",438
"3796","294108","D",842
"3797","294109","D",51
"3798","294110","D",430
"3799","294111","D",116
"3800","294112","D",155
"3801","294113","D",324
"3802","294114","D",18
"3803","294115","D",47
"3804","294116","D",17
"3805","294117","D",145
"3806","294118","D",16
"3807","294119","D",187
"3808","294120","D",75
"3809","294121","D",49
"3810","294122","D",29
"3811","294123","D",46
"3812","294124","D",645
"3813","294125","D",23
"3814","294126","D",228
"3815","294127","D",4
"3816","294128","D",34
"3817","294129","D",0
"3818","294130","D",152
"3819","294131","D",114
"3820","294132","D",1853
"3821","294133","D",1
"3822","294134","D",3
"3823","294135","D",0
"3824","294136","D",47
"3825","294137","D",11
"3826","294138","D",0
"3827","294139","D",0
"3828","294140","D",1
"3829","294141","D",110
"3830","294142","D",239
"3831","294143","D",1197
"3832","294144","D",106
"3833","294145","D",2
"3834","294146","D",16
"3835","294147","D",57
"3836","294148","D",47
"3837","294149","D",104
"3838","294150","D",561
"3839","294151","D",79
"3840","294152","D",573
"3841","294153","D",11
"3842","294154","D",198
"3843","294155","D",997
"3844","294156","D",338
"3845","294157","D",649
"3846","294158","D",127
"3847","294159","D",5
"3848","294160","D",515
"3849","294161","D",216
"3850","294162","D",621
"3851","294163","D",801
"3852","294164","D",566
"3853","294165","D",21
"3854","294166","D",102
"3855","294167","D",12
"3856","294168","D",786
"3857","294169","D",79
"3858","294170","D",124
"3859","294171","D",310
"3860","294172","D",299
"3861","294173","D",384
"3862","294174","D",345
"3863","294175","D",1
"3864","294176","D",209
"3865","294177","D",14
"3866","294178","D",2
"3867","294179","D",742
"3868","294180","D",0
"3869","294181","D",0
"3870","294182","D",0
"3871","294183","D",36
"3872","294184","D",10
"3873","294185","D",0
"3874","294186","D",32
"3875","294187","D",1
"3876","294188","D",1
"3877","294189","D",500
"3878","294190","D",1
"3879","294191","D",0
"3880","294192","D",0
"3881","294193","D",16
"3882","294194","D",204
"3883","294195","D",0
"3884","294196","D",0
"3885","294198","D",568
"3886","294199","D",287
"3887","294200","D",716
"3888","294201","D",8
"3889","294202","D",0
"3890","294203","D",63
"3891","294204","D",25
"3892","294205","D",33
"3893","294206","D",150
"3894","294207","D",4
"3895","294208","D",0
"3896","294209","D",8
"3897","294210","D",7
"3898","294211","D",17
"3899","294212","D",0
"3900","294213","D",0
"3901","294214","D",3
"3902","294215","D",17
"3903","294216","D",1
"3904","294217","D",27
"3905","294218","D",0
"3906","294219","D",0
"3907","294220","D",7
"3908","2970001","D",30
"3909","2970002","D",98
"3910","2970003","D",180
"3911","2970004","D",84
"3912","2970005","D",14
"3913","2970006","D",21
"3914","2970007","D",5
"3915","2970008","D",5
"3916","2970009","D",133
"3917","2970010","D",43
"3918","2970011","D",5
"3919","2970012","D",10
"3920","2970013","D",27
"3921","2970014","D",95
"3922","3010001","D",3
"3923","3010002","D",2
"3924","3010003","D",2
"3925","3010004","D",2
"3926","3090001","D",88
"3927","3090002","D",128
"3928","3090003","D",572
"3929","3090004","D",36
"3930","3090005","D",239
"3931","3090006","D",204
"3932","3090007","D",398
"3933","3090008","D",303
"3934","3090009","D",249
"3935","3090010","D",688
"3936","3090011","D",382
"3937","3090012","D",1382
"3938","3090013","D",26
"3939","3090014","D",585
"3940","3090015","D",38
"3941","3090016","D",70
"3942","3090017","D",214
"3943","3090018","D",121
"3944","3090019","D",502
"3945","3090020","D",143
"3946","3090021","D",123
"3947","3090022","D",125
"3948","3090023","D",461
"3949","3090024","D",140
"3950","3090025","D",417
"3951","3090026","D",142
"3952","3090027","D",307
"3953","3090028","D",270
"3954","3090029","D",200
"3955","3090030","D",421
"3956","3090031","D",513
"3957","3090032","D",154
"3958","3090033","D",313
"3959","3090034","D",266
"3960","3090035","D",278
"3961","3090036","D",182
"3962","3090037","D",247
"3963","3090038","D",184
"3964","3090039","D",255
"3965","3090040","D",442
"3966","3090041","D",347
"3967","3090042","D",334
"3968","3090043","D",100
"3969","3090044","D",586
"3970","3090045","D",135
"3971","3090046","D",74
"3972","3090047","D",120
"3973","3090048","D",122
"3974","3090049","D",93
"3975","3090050","D",364
"3976","3090051","D",798
"3977","3090052","D",171
"3978","3090053","D",83
"3979","3090054","D",105
"3980","3090055","D",96
"3981","3090056","D",250
"3982","3090057","D",227
"3983","3090058","D",562
"3984","3090059","D",409
"3985","3090060","D",739
"3986","3090061","D",543
"3987","3090062","D",786
"3988","3090063","D",470
"3989","3090064","D",131
"3990","3090065","D",101
"3991","3090066","D",118
"3992","3090067","D",268
"3993","3090068","D",118
"3994","3090069","D",127
"3995","3090070","D",25
"3996","3090071","D",91
"3997","3090072","D",117
"3998","3090073","D",84
"3999","3090074","D",53
"4000","3090075","D",308
"4001","3090076","D",202
"4002","3090077","D",120
"4003","3090078","D",458
"4004","3090079","D",207
"4005","3090080","D",127
"4006","3090081","D",299
"4007","3090082","D",276
"4008","3090083","D",71
"4009","3090084","D",330
"4010","3090085","D",221
"4011","3090086","D",606
"4012","3090087","D",378
"4013","3090088","D",94
"4014","3090089","D",20
"4015","3090090","D",91
"4016","3090091","D",282
"4017","310102","D",292
"4018","310201","D",265
"4019","310302","D",155
"4020","310303","D",60
"4021","310304","D",38
"4022","310401","D",308
"4023","3110001","D",25
"4024","3110003","D",31
"4025","311002A","D",14
"4026","311002B","D",14
"4027","311004A","D",16
"4028","311004B","D",20
"4029","3210002","D",91
"4030","3210004","D",140
"4031","3210005","D",287
"4032","3210006","D",169
"4033","3210007","D",20
"4034","3210008","D",121
"4035","3210009","D",57
"4036","3210010","D",32
"4037","3210012","D",37
"4038","3210013","D",113
"4039","321001A","D",373
"4040","321001B","D",518
"4041","321001C","D",410
"4042","321001D","D",268
"4043","321001E","D",361
"4044","321001F","D",151
"4045","321003A","D",360
"4046","321003B","D",87
"4047","323001A","D",285
"4048","323001B","D",825
"4049","323001C","D",1550
"4050","323002A","D",301
"4051","323002BA","D",97
"4052","323002BB","D",192
"4053","323002BC","D",780
"4054","323002C","D",665
"4055","323002D","D",51
"4056","323003A","D",1069
"4057","323003B","D",1387
"4058","323003C","D",172
"4059","323004A","D",364
"4060","323004B","D",946
"4061","323004C","D",394
"4062","323004D","D",802
"4063","325001A","D",107
"4064","325001B","D",128
"4065","325001C","D",399
"4066","325001D","D",349
"4067","325002A","D",240
"4068","325002B","D",339
"4069","325002C","D",467
"4070","325003A","D",145
"4071","325003B","D",60
"4072","325003C","D",409
"4073","325003D","D",664
"4074","325004A","D",210
"4075","325004B","D",489
"4076","325004C","D",315
"4077","3310101","D",249
"4078","3310105","D",96
"4079","3310203","D",45
"4080","3310207","D",106
"4081","3310210","D",62
"4082","3310212","D",306
"4083","3310316","D",79
"4084","3310317","D",105
"4085","3310318","D",327
"4086","3310419","D",301
"4087","3310420","D",251
"4088","3470012","D",189
"4089","3470013","D",112
"4090","3470014","D",352
"4091","3470015","D",135
"4092","3470016","D",318
"4093","3470017","D",61
"4094","3470021","D",207
"4095","3470022","D",40
"4096","3470023","D",97
"4097","3470024","D",378
"4098","3470025","D",23
"4099","3470026","D",790
"4100","3470027","D",560
"4101","3470030","D",137
"4102","3470031","D",142
"4103","3470032","D",850
"4104","3470033","D",899
"4105","3470034","D",27
"4106","3470041","D",175
"4107","3470042","D",303
"4108","3470043","D",247
"4109","3470044","D",141
"4110","3470045","D",53
"4111","3470046","D",107
"4112","3470047","D",48
"4113","3490101","D",249
"4114","3490103","D",192
"4115","3490104","D",74
"4116","3490105","D",27
"4117","3490106","D",63
"4118","3490107","D",173
"4119","3490108","D",65
"4120","3490109","D",42
"4121","3490200","D",170
"4122","3490201","D",250
"4123","3490202","D",181
"4124","3490203","D",339
"4125","3490204","D",46
"4126","3490205","D",106
"4127","3490206","D",68
"4128","3490300","D",345
"4129","3490301","D",46
"4130","3490303","D",156
"4131","3490304","D",53
"4132","3490305","D",60
"4133","3490306","D",26
"4134","3490307","D",54
"4135","3490308","D",31
"4136","3490400","D",186
"4137","3490401","D",68
"4138","3490402","D",214
"4139","3490403","D",131
"4140","3490404","D",147
"4141","3490405","D",96
"4142","3490406","D",33
"4143","350001","D",67
"4144","350002","D",116
"4145","350003","D",92
"4146","350004","D",38
"4147","350005","D",183
"4148","350006","D",138
"4149","350007","D",66
"4150","350008","D",230
"4151","350009","D",109
"4152","350010","D",164
"4153","350011","D",92
"4154","3550001","D",821
"4155","3550002","D",745
"4156","3550003","D",1106
"4157","3550004","D",782
"4158","3550005","D",427
"4159","3550006","D",556
"4160","3550007","D",222
"4161","3550008","D",900
"4162","3550009","D",388
"4163","3550010","D",169
"4164","3550011","D",200
"4165","3550012","D",393
"4166","3550013","D",448
"4167","3550014","D",52
"4168","3550015","D",168
"4169","3550016","D",104
"4170","3550017","D",790
"4171","3550018","D",503
"4172","3550019","D",632
"4173","3550020","D",956
"4174","3550021","D",82
"4175","3550022","D",118
"4176","3550023","D",279
"4177","3550024","D",258
"4178","3550025","D",80
"4179","3550026","D",944
"4180","3550027","D",167
"4181","3550028","D",17
"4182","3550029","D",797
"4183","3550030","D",81
"4184","3550031","D",172
"4185","3550032","D",511
"4186","3550033","D",159
"4187","3550034","D",116
"4188","3550035","D",330
"4189","3550036","D",273
"4190","3550037","D",526
"4191","3550038","D",172
"4192","3550039","D",150
"4193","3550040","D",558
"4194","3550041","D",115
"4195","3550042","D",97
"4196","3550043","D",186
"4197","3550044","D",266
"4198","3550045","D",146
"4199","3550046","D",83
"4200","3550047","D",91
"4201","3550048","D",427
"4202","3550049","D",184
"4203","3550050","D",156
"4204","3550051","D",486
"4205","3550052","D",314
"4206","3550053","D",177
"4207","3550054","D",566
"4208","3550055","D",410
"4209","3550056","D",277
"4210","3550057","D",244
"4211","3550058","D",348
"4212","3550059","D",426
"4213","3550060","D",316
"4214","3550061","D",188
"4215","3550062","D",259
"4216","3550063","D",614
"4217","3550064","D",207
"4218","3550065","D",779
"4219","3550066","D",418
"4220","3550067","D",782
"4221","3550068","D",289
"4222","3550069","D",512
"4223","3550070","D",707
"4224","3550071","D",473
"4225","3550072","D",417
"4226","3550073","D",342
"4227","3550074","D",500
"4228","3550075","D",664
"4229","3550076","D",227
"4230","3550077","D",67
"4231","3550078","D",535
"4232","3550079","D",321
"4233","3550080","D",546
"4234","3550081","D",599
"4235","3550082","D",138
"4236","3550083","D",312
