School District,Total,Anglo,Black,Hisp,B+H,Other
Bluff Dale ISD,844,785,2,45,47,12
,173,157,0,15,15,1
Blum ISD,1797,1641,11,122,130,26
,458,401,5,47,51,6
Boerne ISD,34870,27609,273,6309,6532,729
,8573,6075,116,2196,2277,221
Boles ISD,689,581,25,60,85,23
,238,185,18,29,47,6
Boling ISD,4208,2131,622,1444,2050,27
,1081,428,133,528,651,2
Bonham ISD,16393,12427,1622,1990,3573,393
,3178,2342,213,546,743,93
Booker ISD,1718,850,24,824,829,39
,518,185,5,318,321,12
Borden County ISD,661,553,1,98,99,9
,143,105,1,37,38,0
Borger ISD,14399,9651,581,3770,4289,459
,3947,2133,220,1526,1699,115
Bosqueville ISD,2185,1712,111,315,422,51
,556,394,36,105,137,25
Bovina ISD,2284,541,19,1720,1734,9
,764,123,4,635,639,2
Bowie ISD,10466,9308,45,931,965,193
,2387,1913,32,400,425,49
Boyd ISD,5766,5037,40,547,586,143
,1366,1099,22,197,218,49
Boys Ranch ISD,282,229,19,30,48,5
,162,121,16,22,37,4
Brackett ISD,3598,1496,70,2004,2048,54
,724,188,16,515,524,12
Brady ISD,7201,4608,185,2366,2513,80
,1834,972,66,799,846,16
Brazos ISD,4403,2479,472,1415,1869,55
,1112,485,149,479,619,8
Brazosport ISD,61860,33099,5527,21909,27015,1746
,17395,6985,1966,8268,9950,460
Breckenridge ISD,9515,7179,225,2007,2224,112
,2290,1445,65,758,816,29
Bremond ISD,2241,1809,302,102,404,28
,515,384,79,40,119,12
Brenham ISD,30673,19990,5854,4369,10072,611
,6836,3480,1640,1665,3213,143
Bridge City ISD,12860,11251,142,1088,1219,390
,3215,2605,62,430,488,122
Bridgeport ISD,12063,8291,315,3278,3570,202
,3138,1805,38,1250,1274,59
Broaddus ISD,2930,2716,85,95,179,35
,595,518,25,42,66,11
Brock ISD,4224,3881,30,227,256,87
,1127,1008,9,76,85,34
Bronte ISD,1565,1266,8,270,277,22
,370,252,1,105,106,12
Brookeland ISD,2407,2129,178,70,242,36
,500,405,61,31,88,7
Brookesmith ISD,923,834,8,74,82,7
,170,144,4,22,26,0
Brooks County ISD,7223,573,48,6590,6612,38
,2006,113,18,1878,1885,8
