"","PCTKEY","DISTRICT_N","intesecting"
"16514","490417","42901",1.45852808857651e-13
"16515","4910119","246909",1.00000000000078
"16516","4910122","246909",0.999999999999888
"16517","4910135","246909",1.00000000000055
"16518","4910138","246909",0.999999999997638
"16519","4910140","246909",0.999999999998136
"16520","4910145","246909",1.00000000000129
"16521","4910146","246909",0.999999999998176
"16522","4910147","246909",1.00000000000077
"16523","4910149","246909",0.99999999999987
"16524","4910150","246909",1.00000000000063
"16525","4910151","246909",1.00000000000075
"16526","4910152","246909",0.999999999999539
"16527","4910160","246909",1.00000000000047
"16528","4910162","246909",1.00000000000128
"16529","4910172","246909",0.727898829657057
"16530","4910172","246913",0.272101170343687
"16531","4910182","246909",1.00000000000001
"16532","4910185","246909",0.999999999999563
"16533","4910186","246909",1.0000000000004
"16534","4910189","246909",0.137288614224138
"16535","4910189","246913",0.862711385776951
"16536","4910190","246909",0.683664970734571
"16537","4910190","246913",0.316335029264929
"16538","4910197","246909",0.614184454933363
"16539","4910197","246913",0.385815545066685
"16540","4910198","246909",1.00000000000096
"16541","4910201","246909",0.151135374906835
"16542","4910201","246913",0.848864625091661
"16543","4910204","246913",0.999999999998931
"16544","4910206","246908",0.890761627340404
"16545","4910206","27903",0
"16546","4910206","246913",0.109238372659047
"16547","4910207","246902",0.130343139453732
"16548","4910207","246908",0.747756518546892
"16549","4910207","27903",0.121457801922489
"16550","4910207","246904",0.000442540074783239
"16551","4910207","246913",0
"16552","4910216","246909",0
"16553","4910216","246913",0.999999999999624
"16554","4910218","246909",0.998586296752416
"16555","4910218","246913",0.00141370324733934
"16556","4910253","246913",0.999999999999154
"16557","4910254","246913",0.999999999999535
"16558","4910259","246913",0.999999999996437
"16559","4910264","246913",1.00000000000051
"16560","4910266","246909",0.19122249231855
"16561","4910266","246913",0.808777507680852
"16562","4910267","246908",0.206514079982726
"16563","4910267","246913",0.793485920015592
"16564","4910273","246909",0
"16565","4910273","246913",1.00000000000028
"16566","4910274","246909",0.999999999999716
"16567","4910274","246913",0
"16568","4910275","246909",0.999999999998843
"16569","4910277","246913",1.00000000000062
"16570","4910278","246913",1.00000000000045
"16571","4910283","246913",0.999999999999387
"16572","4910287","246913",0.999999999998783
"16573","4910305","246904",0.999999999999356
"16574","4910309","246902",0.826910913773835
"16575","4910309","246908",0.171177202760058
"16576","4910309","27903",0
"16577","4910309","246904",0.00191188346634746
"16578","4910310","246907",9.02069074433161e-05
"16579","4910310","14908",0.00335952151185871
"16580","4910310","246902",0.970974683687571
"16581","4910310","14906",0.00899395063244456
"16582","4910310","27903",0.0165816372621163
"16583","4910310","246904",0
"16584","4910311","246907",0.000118194340984955
"16585","4910311","246905",0.00251861005233386
"16586","4910311","246904",0.997363195604267
"16587","4910312","246907",0.994879341269843
"16588","4910312","246905",0
"16589","4910312","14908",0.00402439463448518
"16590","4910312","246902",2.77798188195129e-05
"16591","4910312","14902",0.000175375121089171
"16592","4910312","246904",0.000893109153346837
"16593","4910314","246904",1.00000000000032
"16594","4910330","246913",1.00000000000011
"16595","4910331","246913",1.00000000000295
"16596","4910332","246904",0
"16597","4910332","246909",0
"16598","4910332","246913",0.999999999999848
"16599","4910333","246904",0.0159312286092366
"16600","4910333","246909",0.952514048096826
"16601","4910333","246913",0.0315547232891488
"16602","4910337","246904",0.0878999730260416
"16603","4910337","246909",0.912100026973545
"16604","4910339","246909",1.00000000000305
"16605","4910341","246904",1.00000000000075
"16606","4910342","246904",1.00000000000077
"16607","4910343","246908",0.142511157840307
"16608","4910343","246904",0.654163594837748
"16609","4910343","246909",0.00201630453622541
"16610","4910343","246913",0.201308942786245
"16611","4910344","246908",0.292856926181182
"16612","4910344","246904",0.707143073818457
"16613","4910368","246904",0.994866079770684
"16614","4910368","246909",0.00513392022762366
"16615","4910369","246904",0.801348043024904
"16616","4910369","246909",0.198651956976659
"16617","4910370","246904",0.963452510338866
"16618","4910370","246909",0
"16619","4910370","246906",0.0365474896607137
"16620","4910371","246904",1.00000000000014
"16621","4910379","246907",0.119029579242371
"16622","4910379","246904",0.880970420755768
"16623","4910381","246907",0.023640301976028
"16624","4910381","246904",0.976359698023904
"16625","4910392","246907",0.0044596606137277
"16626","4910392","246904",0.99554033938293
"16627","4910394","246904",1.00000000000059
"16628","4910395","246907",0
"16629","4910395","246902",0
"16630","4910395","246908",8.38289186561271e-05
"16631","4910395","246904",0.999916171080445
"16632","4910396","246907",0.975574674529216
"16633","4910396","246902",0.0065296487519269
"16634","4910396","246904",0.0178956767214331
"16635","4910402","246906",0.999999999999777
"16636","4910403","246906",0.999999999999791
"16637","4910413","227904",0.00114189285947577
"16638","4910413","246914",0.312827439257006
"16639","4910413","246911",0.679312964722416
"16640","4910413","11902",0.00543850671963368
"16641","4910413","246906",0.00127919644130979
"16642","4910415","246907",0
"16643","4910415","246905",0.935224027783745
"16644","4910415","14902",0.00026776132033951
"16645","4910415","246904",0.0645082108949951
"16646","4910415","246912",0
"16647","4910415","246911",0
"16648","4910415","246906",0
"16649","4910420","246904",0.00499934993264961
"16650","4910420","246911",0
"16651","4910420","246909",5.28988482586561e-11
"16652","4910420","246906",0.99500065001438
"16653","4910423","246909",1.00000000000046
"16654","4910424","227904",0.00160123877998585
"16655","4910424","246909",0.498277972350044
"16656","4910424","246906",0.500120789252559
"16657","4910425","246907",0.00138642743369834
"16658","4910425","246905",0.116816543982229
"16659","4910425","14908",0
"16660","4910425","14902",0.881797028586983
"16661","4910426","227904",0.00774007377650498
"16662","4910426","246911",0.00101577900538409
"16663","4910426","246906",0.991244147174477
"16664","4910427","246912",0
"16665","4910427","246911",0.999999999999539
"16666","4910428","246911",1.00000000000308
"16667","4910429","246911",1.0000000000011
"16668","4910429","246906",0
"16669","4910434","166905",0.0729877089616558
"16670","4910434","246905",0
"16671","4910434","246912",0.687481186323389
"16672","4910434","144902",0.00823559234031865
"16673","4910434","246914",0.14134979674553
"16674","4910434","246911",0.0899454783955252
"16675","4910434","11902",2.37232993449754e-07
"16676","4910436","246905",0
"16677","4910436","246904",0.0147277128754705
"16678","4910436","246911",0.246532496021596
"16679","4910436","246906",0.738739791102738
"16680","4910455","246909",1.00000000000054
"16681","4910456","246912",0.0718415531118439
"16682","4910456","246911",0.928158446887903
"16683","4910456","246906",0
"16684","4910463","227904",0.0217728577272746
"16685","4910463","246909",0.978227142273343
"16686","4910480","246909",0.999999999999375
"16687","4910484","246904",0
"16688","4910484","246909",0.999999999999277
"16689","4910484","246906",0
"16690","4910488","246909",1.00000000000042
"16691","4910488","246906",0
