,CNTY,COLOR_left,PREC,PCTKEY,cntykey,Shape_area_left,Shape_len_left,index_right,SDLEA10,NAME,NAME2,DISTRICT_N,DISTRICT,DISTRICT_C,NCES_DISTR,COLOR_right,Shape_area_right,Shape_len_right,percentInSchool
0,439,6,1611,4391611,220,35744.7975703,958.348333257,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.006595220251823569
984,439,5,1366,4391366,220,673528.495103,6170.15383551,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.09003709650003856
992,439,7,1578,4391578,220,7274190.59628,12854.551654,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.0
995,439,3,1427,4391427,220,302849.446643,2363.72184151,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.05587830788072767
996,439,7,1576,4391576,220,201156.818322,3354.42026158,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.03711514995697287
997,439,1,2474,4392474,220,8917767.26666,20921.7823994,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.12644205930477947
1002,439,5,4245,4394245,220,4763538.3688,10494.5133311,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.8789134882854907
1004,439,7,4573,4394573,220,628636.171254,4821.05392191,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.11598873932816113
1005,439,1,4615,4394615,220,154189.358844,1600.52579176,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.028449252791903756
1006,439,2,4640,4394640,220,449195.036272,3790.39229897,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.08288031830195287
1514,439,2,1075,4391075,220,2165770.70076,7118.20829275,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.3996031802534843
1771,439,7,1608,4391608,220,655928.107368,3604.59939816,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.12102433449187626
1772,439,2,1455,4391455,220,29511.330497,1028.04007832,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.005445092371049601
1773,439,1,4312,4394312,220,86413.5476236,1437.08395194,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.01594403712036958
1774,439,1,1444,4391444,220,330843.857607,4131.58288564,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.06104351565012368
1814,439,5,1064,4391064,220,1693.79620004,209.985655925,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.00031251985631888324
1815,439,3,1589,4391589,220,11983160.6845,21097.17633,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.0
1816,439,7,1651,4391651,220,6648.1699944,534.8962704,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.001226644109534368
1818,439,2,1407,4391407,220,110771.195601,1427.62299515,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.0204382310774192
1819,439,6,1414,4391414,220,54721.1056706,1195.8634192,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.010096511068746927
1820,439,2,1672,4391672,220,10312.9763296,1092.26737592,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.0019028321593680788
1821,439,1,1617,4391617,220,46832.0333942,961.741019643,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.00864090989661769
2266,439,3,4362,4394362,220,1150396.91006,7344.42943,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.0
2270,439,6,1244,4391244,220,7961624.99144,22351.9349207,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.07033730137722993
2272,439,1,1199,4391199,220,5608003.24926,12862.355981,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.11288234094816105
2800,439,5,4125,4394125,220,1056702.06967,6873.46640447,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.0
2801,439,7,4086,4394086,220,4483194.30995,10191.3471493,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.8271876165474465
2802,439,1,4243,4394243,220,2559211.05651,11517.0994257,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.0
3714,439,1,4128,4394128,220,4378091.33246,12302.221023,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.028570392668392588
3715,439,2,1211,4391211,220,5595352.34087,18221.1092714,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,1.0323902660909479
3717,439,3,4020,4394020,220,4683899.34227,11428.7616173,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.02885028470470204
3718,439,7,4178,4394178,220,3810895.38207,10547.5044084,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.6849137544400432
3722,439,5,4144,4394144,220,5397293.30321,11669.0974202,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.7807284819853253
3723,439,6,4113,4394113,220,14798324.9509,21343.5886921,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,2.7125160559700205
3724,439,2,4252,4394252,220,635907.430169,4376.38872413,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.11733034866179838
3862,439,7,4593,4394593,220,666267.471201,4662.6399849,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.0
3865,439,3,4592,4394592,220,1436.98460424,172.283675907,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,7.431265294269136e-05
3866,439,7,1674,4391674,220,145857.938826,1529.63315899,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.026912034685903318
3867,439,2,4634,4394634,220,624234.349011,4910.93876835,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.11517656555240569
3915,439,6,1678,4391678,220,1321055.57575,6846.2447157,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.24374602961165204
3916,439,6,4682,4394682,220,1085606.38302,5633.50344194,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.20030364387378674
3917,439,5,1676,4391676,220,581542.106026,4684.44797059,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.10729948232137472
3918,439,3,1679,4391679,220,40583.4400883,3547.3514119,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.007487991096676324
3919,439,5,1677,4391677,220,211061.15465,2208.17646559,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.0389425845482356
3973,439,6,4688,4394688,220,40254.7310477,834.940633598,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.00011848848837021185
3977,439,2,4685,4394685,220,116721.847077,1469.21576165,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.0002691934610323907
3978,439,6,1684,4391684,220,362396.110148,4748.76639125,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.06686517555864228
3987,439,4,4687,4394687,220,1095907.62485,8768.71827755,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.006938581135012177
4298,367,1,0420,3670420,184,64449076.8561,44750.048882,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.0
4299,367,5,0415,3670415,184,62251004.2629,40183.0555983,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.0
4302,367,6,0435,3670435,184,50063204.4077,41440.4866944,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.0
4495,439,3,1298,4391298,220,2365224.70155,8248.35825494,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.43640414583998655
4496,439,2,1081,4391081,220,1346987.44122,5660.98844894,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.2485306801324421
4497,439,7,1117,4391117,220,1796448.79677,6093.59779133,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.3314601366150005
4498,439,3,4256,4394256,220,773903.264853,4084.97414675,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.14279175802638927
4500,439,5,2280,4392280,220,1630364.98324,6573.75997085,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.0
4505,439,6,1346,4391346,220,2035947.6083,5899.4364622,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.37564971158784477
4506,439,3,1297,4391297,220,3330785.2542,10262.1820457,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.6145583093586486
4507,439,4,1270,4391270,220,1929343.75944,7325.06589256,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.3559803915554988
4508,439,7,1099,4391099,220,1600171.02229,9643.24930834,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.2952452118924619
4509,439,7,1347,4391347,220,2615141.13482,6806.63469359,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.0018140937773142834
4521,439,3,1348,4391348,220,60919632.5242,59905.0641116,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.904379437758616
4527,439,5,4492,4394492,220,2053933.35101,10964.2645041,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.3789682346356442
4528,439,4,4016,4394016,220,1214951.22716,6853.90262378,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.2241688716420356
4529,439,2,1094,4391094,220,1262562.27069,5099.7535247,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.23295351555945926
4532,439,1,1015,4391015,220,2899677.15999,8187.20150012,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.5350151862488162
4533,439,3,4017,4394017,220,6171260.32654,12672.1276739,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.44485571767316856
4534,439,7,4068,4394068,220,1339544.53539,5262.65782688,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.24611299465309788
4535,439,4,4122,4394122,220,2690597.927,7248.93582531,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.3379348818718384
4536,439,5,4138,4394138,220,1611509.38201,9442.32041776,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.006445363701273194
4543,439,1,1149,4391149,220,6822549.84481,11203.6989715,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,1.2588186803270136
4549,439,2,4057,4394057,220,1707409.89366,7951.28563814,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.3150316989987639
4550,439,7,1151,4391151,220,1523048.06341,5984.55491461,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.281015367694403
4552,439,2,4532,4394532,220,16078120.6205,35269.1577329,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.0004911429078716456
4556,439,1,4067,4394067,220,2150512.55647,7401.42879044,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.39678792239558847
4557,439,4,4494,4394494,220,1721889.03616,5378.95064368,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.3177032243760192
4558,439,4,4107,4394107,220,2109348.44981,7642.01832603,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.389192793360381
4573,439,7,4493,4394493,220,3127200.62388,13652.2156346,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.5769952073670955
4574,439,3,4350,4394350,220,2454221.38229,6909.3286692,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.45282479307006657
4575,439,1,4369,4394369,220,12259964.1026,15413.24142,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.0013965302760303047
4576,439,2,4110,4394110,220,1664111.37434,7113.30005169,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.3070427526102685
4577,439,5,4563,4394563,220,197622.351901,1908.28691866,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.036463010733861934
4578,439,2,1279,4391279,220,1622670.37815,8282.57358606,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.2993965350928209
4579,439,4,1482,4391482,220,988964.397828,4173.33956717,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.18247237271749067
4580,439,6,1477,4391477,220,2421631.52128,8297.24727826,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.44681168554169687
4581,439,7,1430,4391430,220,3216286.35653,8025.22783338,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.48637627171795544
4585,439,4,4497,4394497,220,2083645.96498,5799.92641207,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.3785998392831236
4586,439,5,4135,4394135,220,1604909.256,5693.21438872,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.2961194564558332
4587,439,7,4097,4394097,220,1068232.10637,4656.3450202,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.19709794153340265
4588,439,3,4137,4394137,220,2370478.58222,8268.48404251,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.4373735316699211
4589,439,6,1076,4391076,220,1574631.65196,5607.07059732,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.29053298007465134
4590,439,6,1198,4391198,220,5191777.21069,14569.481714,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.9579272098517291
4594,439,1,4116,4394116,220,1443986.91384,5954.13180853,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.2664279107721412
4595,439,7,1296,4391296,220,2495713.44335,7274.62724163,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.3351709205120935
4597,439,6,4512,4394512,220,26833.5973425,985.151515835,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.0004016693487121177
4598,439,4,4496,4394496,220,299314.849995,2621.32605899,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.05522614462985869
4600,439,7,4202,4394202,220,2586353.50915,9331.61046557,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.0
4612,439,4,4077,4394077,220,205076.798408,2669.99270101,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.03783841974209413
4613,439,6,1062,4391062,220,59188.5526969,1016.35937351,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.010920793177331677
4614,439,3,4233,4394233,220,2373977.37868,10486.4020874,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.4380190894803597
4615,439,4,1236,4391236,220,2055380.00762,7324.52092135,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.3792351551272633
4616,439,7,2600,4392600,220,2831.85566277,251.486918434,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.0005225015410964553
4621,439,6,4290,4394290,220,2552403.59086,7938.98828286,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.0021722179416497163
4624,439,3,4096,4394096,220,579533.114431,5283.58690578,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.10692880622433443
4625,439,5,1132,4391132,220,2190099.41146,6093.53311435,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.40409203503557445
4626,439,5,1408,4391408,220,203455.657493,1913.47526364,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.03753930540589703
4631,439,1,1376,4391376,220,277768.523517,2286.30328178,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.05125066348557133
5004,439,3,1184,4391184,220,2658338.88912,10508.5995686,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.49048621532697667
5005,439,4,1301,4391301,220,3292112.41253,8603.14666043,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.3683384856475449
5006,439,5,2219,4392219,220,1942692.89665,8402.09848901,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.0
5007,439,5,1293,4391293,220,2172554.82016,7202.82310211,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.40085490818739783
5009,439,2,1515,4391515,220,257803.437392,2324.83445405,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.047566934683672984
5014,439,7,2601,4392601,220,2818.07575972,287.449024131,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.0005199590314117911
5491,439,4,2173,4392173,220,8767599.06824,30195.7286326,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,1.0080021440134024
5511,439,5,4141,4394141,220,5405118.36812,14520.1905654,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.0015982775050116722
5778,439,7,4604,4394604,220,1274280.04616,6045.04293408,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.2351155451506591
5779,439,1,4596,4394596,220,130711.420469,2275.90001526,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.024117372765351523
5780,439,7,4602,4394602,220,2118.13153712,785.828786005,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.0
5781,439,2,4239,4394239,220,451188.462981,5090.68745868,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.0
5782,439,1,4485,4394485,220,887821.945683,6140.98383705,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.10436213336703394
5783,439,2,1623,4391623,220,53140.3919043,1212.11562109,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.0
5794,439,3,4480,4394480,220,10866843.1216,14237.7918221,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,2.005025310003292
5796,439,1,1594,4391594,220,15428.0310358,761.340806732,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.002846603412315857
5797,439,2,1445,4391445,220,91456.3235207,1798.04275001,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.01687447231617941
5798,439,1,1652,4391652,220,330518.399741,4309.05591295,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.05255427135366019
5799,439,7,1628,4391628,220,702.872959545,109.995601546,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.0001296860603898416
5800,439,4,1543,4391543,220,16398.3948527,1454.13937475,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.0030256438187720317
5801,439,1,1549,4391549,220,38081.6788639,3748.67515526,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.007026394796978519
5802,439,3,1559,4391559,220,245640.648412,2974.55330726,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.007383343465900044
5810,439,6,1633,4391633,220,17480.9359854,551.003724598,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.0032253818980078875
5811,439,7,1434,4391434,220,115160.589869,1707.88798825,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.021248111785311528
5812,439,6,1457,4391457,220,93457.6479537,1685.80274931,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.01724373375629947
5813,439,2,4478,4394478,220,15454.9329028,586.611107562,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.002851567036377774
5817,439,5,1622,4391622,220,3105501.40596,10820.4589679,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.14925422894463877
5818,439,3,1518,4391518,220,396997.555842,3526.51041748,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.07324943763064005
5819,439,7,1491,4391491,220,230305.876353,2911.97262672,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.04249339996580947
5950,439,5,4683,4394683,220,29932.1240871,1474.6636633,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.0055227323799746635
6471,439,2,4069,4394069,220,29020784.3876,24205.3178974,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,5.351574019511859
6472,439,5,1208,4391208,220,10773754.8768,25020.1483237,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,1.98784973428823
6473,439,4,1273,4391273,220,3293209.90025,10562.6162137,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.6076253358306458
6474,439,1,4163,4394163,220,1181939.54445,5535.69135451,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.21284628900343658
6475,439,4,4130,4394130,220,2605635.87488,7481.61341838,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.471179794867735
6476,439,4,1265,4391265,220,1633516.37033,6567.79498129,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.301397713226551
6477,439,5,1119,4391119,220,2939835.32682,7608.21910445,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.41256220104225766
6480,439,3,1120,4391120,220,3149423.07025,8019.66250272,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.5810954384015975
6485,439,2,4091,4394091,220,6323999.32349,16233.678494,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.005236315123523991
6486,439,4,1127,4391127,220,1435251.31915,4800.4687998,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.2648161189884165
6487,439,5,1188,4391188,220,1459154.29577,8958.31340087,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.2692264221999544
6488,439,7,1165,4391165,220,220710.459303,2323.61440229,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.040722963618414834
6489,439,5,1133,4391133,220,1663058.7002,6589.00890497,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.306848525245413
6490,439,7,1167,4391167,220,1354121.30483,5378.29813956,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.24984693885986556
6491,439,4,1142,4391142,220,1547217.30746,5133.5940678,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.28547479951977583
6492,439,6,4155,4394155,220,2484090.62006,7172.48000015,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.4583359223878519
6493,439,3,1241,4391241,220,221923.33436,2172.20501908,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.0409467494187003
6494,439,6,1460,4391460,220,2964179.65808,9232.15278564,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.5469164477086762
6502,439,2,1150,4391150,220,2671821.69835,8662.01435031,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,0.08428806900471524
6503,439,5,1291,4391291,220,15232820.9849,17298.7605896,948,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,1,541980346.45,252583.662293,2.2075756685192585
